t,deaths,cases,cases_cum,nCFR,case_adj,cases_adj_cum,date
50,0,1,1,0.0,0.0,0.0,2020-02-19
51,2,5,6,0.4,333.3333333333333,333.3333333333333,2020-02-20
52,1,1,7,1.0,166.66666666666666,500.0,2020-02-21
53,2,4,11,0.5,333.3333333333333,833.3333333333333,2020-02-22
54,1,15,26,0.06666666666666667,166.66666666666666,999.9999999999999,2020-02-23
55,0,13,39,0.0,0.0,999.9999999999999,2020-02-24
56,0,19,58,0.0,0.0,999.9999999999999,2020-02-25
57,3,16,74,0.1875,500.0,1500.0,2020-02-26
58,1,12,86,0.08333333333333333,166.66666666666666,1666.6666666666667,2020-02-27
59,1,17,103,0.058823529411764705,166.66666666666666,1833.3333333333335,2020-02-28
60,0,5,108,0.0,0.0,1833.3333333333335,2020-02-29
61,7,44,152,0.1590909090909091,1166.6666666666667,3000.0,2020-03-01
62,3,18,170,0.16666666666666666,500.0,3500.0,2020-03-02
63,5,12,182,0.4166666666666667,833.3333333333334,4333.333333333333,2020-03-03
64,1,14,196,0.07142857142857142,166.66666666666666,4500.0,2020-03-04
65,3,42,238,0.07142857142857142,500.0,5000.0,2020-03-05
66,1,14,252,0.07142857142857142,166.66666666666666,5166.666666666667,2020-03-06
67,0,15,267,0.0,0.0,5166.666666666667,2020-03-07
68,2,22,289,0.09090909090909091,333.3333333333333,5500.0,2020-03-08
69,2,17,306,0.11764705882352941,333.3333333333333,5833.333333333333,2020-03-09
70,3,45,351,0.06666666666666667,500.0,6333.333333333333,2020-03-10
71,1,18,369,0.05555555555555555,166.66666666666666,6500.0,2020-03-11
72,3,18,387,0.16666666666666666,500.0,7000.0,2020-03-12
73,4,27,414,0.14814814814814814,666.6666666666666,7666.666666666667,2020-03-13
74,1,18,432,0.05555555555555555,166.66666666666666,7833.333333333334,2020-03-14
75,4,44,476,0.09090909090909091,666.6666666666666,8500.0,2020-03-15
76,12,36,512,0.3333333333333333,2000.0,10500.0,2020-03-16
77,3,26,538,0.11538461538461539,500.0,11000.0,2020-03-17
78,7,31,569,0.22580645161290322,1166.6666666666667,12166.666666666666,2020-03-18
79,10,33,602,0.30303030303030304,1666.6666666666667,13833.333333333332,2020-03-19
80,23,91,693,0.25274725274725274,3833.333333333333,17666.666666666664,2020-03-20
81,11,37,730,0.2972972972972973,1833.3333333333333,19499.999999999996,2020-03-21
82,13,39,769,0.3333333333333333,2166.6666666666665,21666.666666666664,2020-03-22
83,12,58,827,0.20689655172413793,2000.0,23666.666666666664,2020-03-23
84,11,35,862,0.3142857142857143,1833.3333333333333,25499.999999999996,2020-03-24
85,21,59,921,0.3559322033898305,3500.0,28999.999999999996,2020-03-25
86,23,64,985,0.359375,3833.333333333333,32833.33333333333,2020-03-26
87,16,48,1033,0.3333333333333333,2666.6666666666665,35499.99999999999,2020-03-27
88,17,58,1091,0.29310344827586204,2833.3333333333335,38333.33333333333,2020-03-28
89,19,63,1154,0.30158730158730157,3166.6666666666665,41499.99999999999,2020-03-29
90,31,94,1248,0.32978723404255317,5166.666666666667,46666.66666666666,2020-03-30
91,32,65,1313,0.49230769230769234,5333.333333333333,51999.99999999999,2020-03-31
92,64,157,1470,0.40764331210191085,10666.666666666666,62666.66666666666,2020-04-01
93,49,110,1580,0.44545454545454544,8166.666666666666,70833.33333333333,2020-04-02
94,39,126,1706,0.30952380952380953,6500.0,77333.33333333333,2020-04-03
95,48,122,1828,0.39344262295081966,8000.0,85333.33333333333,2020-04-04
96,49,139,1967,0.35251798561151076,8166.666666666666,93500.0,2020-04-05
97,67,148,2115,0.4527027027027027,11166.666666666666,104666.66666666667,2020-04-06
98,60,144,2259,0.4166666666666667,10000.0,114666.66666666667,2020-04-07
99,58,157,2416,0.36942675159235666,9666.666666666666,124333.33333333334,2020-04-08
100,70,169,2585,0.41420118343195267,11666.666666666666,136000.0,2020-04-09
101,111,307,2892,0.36156351791530944,18500.0,154500.0,2020-04-10
102,77,208,3100,0.3701923076923077,12833.333333333334,167333.33333333334,2020-04-11
103,79,240,3340,0.32916666666666666,13166.666666666666,180500.0,2020-04-12
104,111,290,3630,0.38275862068965516,18500.0,199000.0,2020-04-13
105,108,264,3894,0.4090909090909091,18000.0,217000.0,2020-04-14
106,127,355,4249,0.35774647887323946,21166.666666666668,238166.66666666666,2020-04-15
107,121,306,4555,0.3954248366013072,20166.666666666668,258333.3333333333,2020-04-16
108,137,333,4888,0.4114114114114114,22833.333333333332,281166.6666666666,2020-04-17
109,161,388,5276,0.41494845360824745,26833.333333333332,307999.99999999994,2020-04-18
110,140,355,5631,0.39436619718309857,23333.333333333332,331333.33333333326,2020-04-19
111,292,695,6326,0.4201438848920863,48666.666666666664,379999.99999999994,2020-04-20
112,159,332,6658,0.4789156626506024,26500.0,406499.99999999994,2020-04-21
113,175,403,7061,0.43424317617866004,29166.666666666664,435666.6666666666,2020-04-22
114,195,459,7520,0.42483660130718953,32500.0,468166.6666666666,2020-04-23
115,273,568,8088,0.48063380281690143,45500.0,513666.6666666666,2020-04-24
116,270,597,8685,0.45226130653266333,45000.0,558666.6666666666,2020-04-25
117,243,532,9217,0.4567669172932331,40500.0,599166.6666666666,2020-04-26
118,260,592,9809,0.4391891891891892,43333.333333333336,642500.0,2020-04-27
119,309,616,10425,0.5016233766233766,51500.0,694000.0,2020-04-28
120,243,508,10933,0.47834645669291337,40500.0,734500.0,2020-04-29
121,324,718,11651,0.45125348189415043,54000.0,788500.0,2020-04-30
122,567,1199,12850,0.47289407839866554,94500.0,883000.0,2020-05-01
123,385,759,13609,0.5072463768115942,64166.666666666664,947166.6666666666,2020-05-02
124,326,701,14310,0.46504992867332384,54333.333333333336,1001500.0,2020-05-03
125,409,809,15119,0.5055624227441285,68166.66666666667,1069666.6666666667,2020-05-04
126,427,950,16069,0.4494736842105263,71166.66666666667,1140833.3333333335,2020-05-05
127,344,719,16788,0.47844228094575797,57333.333333333336,1198166.6666666667,2020-05-06
128,327,700,17488,0.46714285714285714,54500.0,1252666.6666666667,2020-05-07
129,382,853,18341,0.447831184056272,63666.666666666664,1316333.3333333335,2020-05-08
130,358,802,19143,0.4463840399002494,59666.666666666664,1376000.0000000002,2020-05-09
131,613,1366,20509,0.44875549048316254,102166.66666666667,1478166.666666667,2020-05-10
132,409,856,21365,0.477803738317757,68166.66666666667,1546333.3333333337,2020-05-11
133,363,813,22178,0.44649446494464945,60500.0,1606833.3333333337,2020-05-12
134,326,763,22941,0.4272608125819135,54333.333333333336,1661166.666666667,2020-05-13
135,363,836,23777,0.4342105263157895,60500.0,1721666.666666667,2020-05-14
136,470,1096,24873,0.42883211678832117,78333.33333333333,1800000.0000000002,2020-05-15
137,357,814,25687,0.43857493857493857,59500.0,1859500.0000000002,2020-05-16
138,303,732,26419,0.4139344262295082,50500.0,1910000.0000000002,2020-05-17
139,374,887,27306,0.42164599774520856,62333.33333333333,1972333.3333333335,2020-05-18
140,323,752,28058,0.4295212765957447,53833.333333333336,2026166.6666666667,2020-05-19
141,490,1176,29234,0.4166666666666667,81666.66666666667,2107833.3333333335,2020-05-20
142,343,779,30013,0.44030808729139925,57166.666666666664,2165000.0,2020-05-21
143,305,765,30778,0.39869281045751637,50833.333333333336,2215833.3333333335,2020-05-22
144,295,690,31468,0.427536231884058,49166.666666666664,2265000.0,2020-05-23
145,291,681,32149,0.42731277533039647,48500.0,2313500.0,2020-05-24
146,427,1023,33172,0.4173998044965787,71166.66666666667,2384666.6666666665,2020-05-25
147,268,719,33891,0.37273991655076494,44666.666666666664,2429333.333333333,2020-05-26
148,285,685,34576,0.41605839416058393,47500.0,2476833.333333333,2020-05-27
149,312,826,35402,0.37772397094430993,52000.0,2528833.333333333,2020-05-28
150,306,768,36170,0.3984375,51000.0,2579833.333333333,2020-05-29
151,253,742,36912,0.34097035040431267,42166.666666666664,2621999.9999999995,2020-05-30
152,242,651,37563,0.3717357910906298,40333.333333333336,2662333.333333333,2020-05-31
153,523,1326,38889,0.39441930618401205,87166.66666666667,2749499.9999999995,2020-06-01
154,331,809,39698,0.40914709517923364,55166.666666666664,2804666.666666666,2020-06-02
155,312,745,40443,0.41879194630872485,52000.0,2856666.666666666,2020-06-03
156,298,740,41183,0.4027027027027027,49666.666666666664,2906333.3333333326,2020-06-04
157,323,875,42058,0.36914285714285716,53833.333333333336,2960166.666666666,2020-06-05
158,275,761,42819,0.36136662286465177,45833.333333333336,3005999.9999999995,2020-06-06
159,244,677,43496,0.3604135893648449,40666.666666666664,3046666.666666666,2020-06-07
160,274,790,44286,0.3468354430379747,45666.666666666664,3092333.3333333326,2020-06-08
161,250,704,44990,0.35511363636363635,41666.666666666664,3133999.999999999,2020-06-09
162,418,1120,46110,0.3732142857142857,69666.66666666667,3203666.6666666656,2020-06-10
163,236,660,46770,0.3575757575757576,39333.333333333336,3242999.999999999,2020-06-11
164,259,823,47593,0.31470230862697446,43166.666666666664,3286166.6666666656,2020-06-12
165,292,768,48361,0.3802083333333333,48666.666666666664,3334833.333333332,2020-06-13
166,265,726,49087,0.3650137741046832,44166.666666666664,3378999.9999999986,2020-06-14
167,338,967,50054,0.34953464322647365,56333.333333333336,3435333.333333332,2020-06-15
168,275,718,50772,0.383008356545961,45833.333333333336,3481166.6666666656,2020-06-16
