mean_all,stdm_all,median_all,mean_death,stdm_death,median_death,mean_cure,stdm_cure,median_cure,n_death,n_cure,age_min,age_mean,age_max,ibp_min,ibp_mean,ibp_max
6.372652782519631,0.11019229944446846,4.0,9.808510638297872,1.2821316981298148,4.0,6.076700434153401,0.10256086453327687,4.0,141,5528,0,7.046998325759388,17,-1.7313,-1.4515347404926653,-1.3144
7.170901816608996,0.06501501725507201,5.0,10.913439635535308,0.4073296407625451,7.0,6.795543370471913,0.061996271584709925,5.0,878,17143,18,25.325412489145023,29,-1.7627,-1.4571249348701145,-1.3144
7.570358676190293,0.03753082226116587,5.0,11.084267862864467,0.20260689131118004,8.0,7.193579582483655,0.036215202024936555,5.0,3121,47567,30,35.20761687633907,39,-1.7627,-1.4577025229357197,-1.3144
8.286100876635752,0.03293629035740274,6.0,10.858394370242712,0.1348919146721527,8.0,7.894443172713746,0.032631334811547216,6.0,6963,69896,40,44.65467233863029,49,-1.7627,-1.4583066903387925,-1.3144
9.381411204552817,0.026538261061709718,7.0,11.842180774748924,0.08037645862781524,9.0,8.7906404364813,0.02679110292429711,6.0,22304,116202,50,57.14574391659145,64,-1.7627,-1.4593206780627381,-1.3144
10.303698400158009,0.0373507481787514,7.0,11.411594718356822,0.07920581636869721,8.0,9.774941501808126,0.04096583330135815,7.0,22493,56412,65,69.29923378807699,74,-1.7627,-1.4571406884692908,-1.3144
10.189466561407466,0.04532153435528761,7.0,10.1630020940415,0.07437080758987365,7.0,10.14904376012966,0.05628084033721291,7.0,21012,30850,75,79.10231034249814,84,-1.7627,-1.4572872334433409,-1.3144
9.37618398637138,0.05798916045034118,7.0,8.441504004004004,0.07462495189399779,6.0,10.461786444409498,0.08871755077658865,8.0,15984,12718,85,89.31683907433082,136,-1.7313,-1.457657596246374,-1.3144
8.576009053187477,0.1573952407136354,5.0,8.23076923076923,1.0285346914485096,4.0,7.520251245397445,0.1487369817395711,4.0,143,4617,0,7.055540011191942,17,-1.3134,-1.1141281757134938,-0.8651
8.126657033360559,0.08075528269328441,5.0,10.378378378378379,0.434655131322894,6.0,7.743652514513534,0.07987238610366577,5.0,777,14297,18,25.13101920236337,29,-1.3134,-1.1217229492860659,-0.8646
8.267492008726977,0.04888855189226294,6.0,10.322897019992455,0.20147340240064282,8.0,7.84545871822824,0.04869369334237862,5.0,2651,34858,30,35.12852431515336,39,-1.3134,-1.1255967306556047,-0.8646
8.79098680476731,0.042665511162726176,6.0,10.282781228433402,0.1439781325725435,7.0,8.385931558935361,0.04356118417409291,6.0,5796,47866,40,44.636846483650096,49,-1.3134,-1.1255382888591303,-0.8646
9.714250470287107,0.034024139528414356,7.0,10.9210648416657,0.08631075408781454,8.0,9.195215526969081,0.036079818228480096,6.0,17242,75327,50,57.082718800229024,64,-1.3134,-1.1238712688244221,-0.8646
10.341694516178034,0.04760684415115156,7.0,10.636397819138935,0.08768172308130315,8.0,9.945669589535933,0.05569769176555825,7.0,15957,34327,65,69.27637029300978,74,-1.3134,-1.1224210786328046,-0.8646
10.073446836621326,0.05800007977304775,7.0,9.702755609095016,0.08883972275247982,7.0,10.079899255131021,0.07501704997155621,7.0,13282,18661,75,79.04925792071035,84,-1.3134,-1.118933812764874,-0.8646
9.32654485471387,0.07878980501873685,7.0,8.35279399499583,0.09743405913298658,6.0,10.106423919478981,0.12207529059713447,7.0,8393,6756,85,89.17013384937913,136,-1.3134,-1.1172208756652275,-0.8646
8.961100305640455,0.20829463402396212,5.0,9.864285714285714,1.2800633782118078,3.5,8.577662496185535,0.20416406733248793,5.0,140,3277,0,7.096061269146609,17,-0.8632,-0.7177575711159763,-0.4151
9.452785593697243,0.12662934554381802,6.0,8.652,0.47619672262340756,5.0,9.371772591857,0.12984878835280617,6.0,500,8056,18,25.06454190340909,29,-0.8632,-0.7132822975852154,-0.4151
9.513654656956689,0.08069940822026794,6.0,9.560076287349014,0.27342891292225696,6.0,9.302937047835007,0.08207092923344012,6.0,1573,18522,30,35.08814766368723,39,-0.8632,-0.7107791548579768,-0.4151
9.818091280607163,0.06893278596085102,6.0,9.20017157563626,0.1731853678799189,6.0,9.722174674980641,0.07334260389728489,6.0,3497,24537,40,44.60440734391692,49,-0.8632,-0.7091599413679691,-0.4151
10.4579817818965,0.05336816908339655,7.0,9.980739299610894,0.11057970626340764,6.0,10.30891620228113,0.058746425791273246,7.0,10280,38402,50,57.12456421744721,64,-0.8632,-0.713808714325311,-0.4151
10.80648346783805,0.07063061212323525,7.0,9.780680137999015,0.10883373889460422,6.0,11.006956235964287,0.0871462020668249,7.0,10145,18257,65,69.32185834622658,74,-0.8632,-0.7179694064810461,-0.4151
10.398285542410267,0.08359711664787225,7.0,9.089433587280556,0.10959209537571572,6.0,11.042772431223876,0.11505202452229979,8.0,9057,10287,75,79.13801804074939,84,-0.8632,-0.7147304074938952,-0.4151
9.59809640773718,0.11593040133106129,6.0,7.820729772607086,0.12409585240244256,5.0,11.726397919375813,0.20459052413124496,8.0,5673,3845,85,89.34239202657807,150,-0.8632,-0.718641189368783,-0.4151
9.945224719101123,0.3580457281857404,5.0,8.466666666666667,1.1442505448149494,4.0,8.900501672240802,0.3675343314510904,5.0,75,1196,0,6.60502405130946,17,-0.4143,-0.2185740245857816,0.0319
9.266424462609749,0.21531881930880986,5.0,6.83419689119171,0.6833649452803309,4.0,9.152839931153185,0.22467406497848874,5.0,193,2905,18,25.026466380543635,29,-0.4143,-0.21738497854076727,0.0333
