t,deaths,cases,cases_cum,nCFR,case_adj,cases_adj_cum,date
46,0,1,1,0.0,0.0,0.0,2020-02-15
54,0,8,9,0.0,0.0,0.0,2020-02-23
55,0,9,18,0.0,0.0,0.0,2020-02-24
56,0,5,23,0.0,0.0,0.0,2020-02-25
57,0,12,35,0.0,0.0,0.0,2020-02-26
58,0,6,41,0.0,0.0,0.0,2020-02-27
59,1,10,51,0.1,166.66666666666666,166.66666666666666,2020-02-28
60,0,4,55,0.0,0.0,166.66666666666666,2020-02-29
61,1,26,81,0.038461538461538464,166.66666666666666,333.3333333333333,2020-03-01
62,0,11,92,0.0,0.0,333.3333333333333,2020-03-02
63,0,6,98,0.0,0.0,333.3333333333333,2020-03-03
64,0,13,111,0.0,0.0,333.3333333333333,2020-03-04
65,2,14,125,0.14285714285714285,333.3333333333333,666.6666666666666,2020-03-05
66,1,15,140,0.06666666666666667,166.66666666666666,833.3333333333333,2020-03-06
67,1,14,154,0.07142857142857142,166.66666666666666,999.9999999999999,2020-03-07
68,2,14,168,0.14285714285714285,333.3333333333333,1333.3333333333333,2020-03-08
69,2,11,179,0.18181818181818182,333.3333333333333,1666.6666666666665,2020-03-09
70,5,24,203,0.20833333333333334,833.3333333333334,2500.0,2020-03-10
71,8,31,234,0.25806451612903225,1333.3333333333333,3833.333333333333,2020-03-11
72,12,36,270,0.3333333333333333,2000.0,5833.333333333333,2020-03-12
73,6,39,309,0.15384615384615385,1000.0,6833.333333333333,2020-03-13
74,11,34,343,0.3235294117647059,1833.3333333333333,8666.666666666666,2020-03-14
75,12,65,408,0.18461538461538463,2000.0,10666.666666666666,2020-03-15
76,12,73,481,0.1643835616438356,2000.0,12666.666666666666,2020-03-16
77,16,75,556,0.21333333333333335,2666.6666666666665,15333.333333333332,2020-03-17
78,22,79,635,0.27848101265822783,3666.6666666666665,19000.0,2020-03-18
79,9,74,709,0.12162162162162163,1500.0,20500.0,2020-03-19
80,17,112,821,0.15178571428571427,2833.3333333333335,23333.333333333332,2020-03-20
81,18,91,912,0.1978021978021978,3000.0,26333.333333333332,2020-03-21
82,22,90,1002,0.24444444444444444,3666.6666666666665,30000.0,2020-03-22
83,17,109,1111,0.1559633027522936,2833.3333333333335,32833.333333333336,2020-03-23
84,17,106,1217,0.16037735849056603,2833.3333333333335,35666.66666666667,2020-03-24
85,25,98,1315,0.25510204081632654,4166.666666666667,39833.333333333336,2020-03-25
86,29,122,1437,0.23770491803278687,4833.333333333333,44666.66666666667,2020-03-26
87,30,110,1547,0.2727272727272727,5000.0,49666.66666666667,2020-03-27
88,19,81,1628,0.2345679012345679,3166.6666666666665,52833.333333333336,2020-03-28
89,23,93,1721,0.24731182795698925,3833.333333333333,56666.66666666667,2020-03-29
90,24,86,1807,0.27906976744186046,4000.0,60666.66666666667,2020-03-30
91,21,71,1878,0.29577464788732394,3500.0,64166.66666666667,2020-03-31
92,32,123,2001,0.2601626016260163,5333.333333333333,69500.0,2020-04-01
93,34,93,2094,0.3655913978494624,5666.666666666667,75166.66666666667,2020-04-02
94,29,91,2185,0.31868131868131866,4833.333333333333,80000.0,2020-04-03
95,21,79,2264,0.26582278481012656,3500.0,83500.0,2020-04-04
96,23,80,2344,0.2875,3833.333333333333,87333.33333333333,2020-04-05
