 ,MORTE, Branca_Parda, Branca_Preta, Branca_Amarela, Branca_Indigena
MORTE, 1.0000000000000002, -0.6676177825832689, -0.3132214832058038, -0.1482756990855672, -0.06946695048107636
Branca_Parda, -0.6676177825832686, 1.0000000000000002, 0.2091122320753012, 0.09899149343449036, 0.04637737144299792
Branca_Preta, -0.3132214832058038, 0.20911223207530122, 1.0, 0.046443134390958804, 0.021758541263466852
Branca_Amarela, -0.14827569908556723, 0.09899149343449037, 0.0464431343909588, 1.0, 0.010300260645924077
Branca_Indigena, -0.06946695048107636, 0.04637737144299791, 0.021758541263466852, 0.010300260645924073, 0.9999999999999998
