t,deaths,cases,cases_cum,nCFR,case_adj,cases_adj_cum,date
47,0,1,1,0.0,0.0,0.0,2020-02-16
49,0,1,2,0.0,0.0,0.0,2020-02-18
51,1,1,3,1.0,166.66666666666666,166.66666666666666,2020-02-20
53,1,3,6,0.3333333333333333,166.66666666666666,333.3333333333333,2020-02-22
54,0,3,9,0.0,0.0,333.3333333333333,2020-02-23
55,0,6,15,0.0,0.0,333.3333333333333,2020-02-24
56,1,13,28,0.07692307692307693,166.66666666666666,500.0,2020-02-25
57,0,18,46,0.0,0.0,500.0,2020-02-26
58,0,9,55,0.0,0.0,500.0,2020-02-27
59,1,20,75,0.05,166.66666666666666,666.6666666666666,2020-02-28
60,2,6,81,0.3333333333333333,333.3333333333333,1000.0,2020-02-29
61,4,22,103,0.18181818181818182,666.6666666666666,1666.6666666666665,2020-03-01
62,1,12,115,0.08333333333333333,166.66666666666666,1833.3333333333333,2020-03-02
63,1,12,127,0.08333333333333333,166.66666666666666,2000.0,2020-03-03
64,1,7,134,0.14285714285714285,166.66666666666666,2166.6666666666665,2020-03-04
65,2,20,154,0.1,333.3333333333333,2500.0,2020-03-05
66,1,11,165,0.09090909090909091,166.66666666666666,2666.6666666666665,2020-03-06
67,2,19,184,0.10526315789473684,333.3333333333333,3000.0,2020-03-07
68,3,15,199,0.2,500.0,3500.0,2020-03-08
69,2,16,215,0.125,333.3333333333333,3833.3333333333335,2020-03-09
70,3,25,240,0.12,500.0,4333.333333333334,2020-03-10
71,3,27,267,0.1111111111111111,500.0,4833.333333333334,2020-03-11
72,10,39,306,0.2564102564102564,1666.6666666666667,6500.000000000001,2020-03-12
73,15,43,349,0.3488372093023256,2500.0,9000.0,2020-03-13
74,12,45,394,0.26666666666666666,2000.0,11000.0,2020-03-14
75,9,49,443,0.1836734693877551,1500.0,12500.0,2020-03-15
76,17,74,517,0.22972972972972974,2833.3333333333335,15333.333333333334,2020-03-16
77,15,59,576,0.2542372881355932,2500.0,17833.333333333336,2020-03-17
78,12,71,647,0.16901408450704225,2000.0,19833.333333333336,2020-03-18
79,23,85,732,0.27058823529411763,3833.333333333333,23666.666666666668,2020-03-19
80,42,155,887,0.2709677419354839,7000.0,30666.666666666668,2020-03-20
81,22,91,978,0.24175824175824176,3666.6666666666665,34333.333333333336,2020-03-21
82,22,93,1071,0.23655913978494625,3666.6666666666665,38000.0,2020-03-22
83,51,152,1223,0.3355263157894737,8500.0,46500.0,2020-03-23
84,24,121,1344,0.19834710743801653,4000.0,50500.0,2020-03-24
85,21,122,1466,0.1721311475409836,3500.0,54000.0,2020-03-25
86,36,154,1620,0.23376623376623376,6000.0,60000.0,2020-03-26
87,45,146,1766,0.3082191780821918,7500.0,67500.0,2020-03-27
88,22,119,1885,0.18487394957983194,3666.6666666666665,71166.66666666667,2020-03-28
89,35,111,1996,0.3153153153153153,5833.333333333333,77000.0,2020-03-29
90,34,135,2131,0.2518518518518518,5666.666666666667,82666.66666666667,2020-03-30
91,49,132,2263,0.3712121212121212,8166.666666666666,90833.33333333334,2020-03-31
92,65,213,2476,0.3051643192488263,10833.333333333334,101666.66666666667,2020-04-01
93,36,147,2623,0.24489795918367346,6000.0,107666.66666666667,2020-04-02
94,46,157,2780,0.2929936305732484,7666.666666666666,115333.33333333334,2020-04-03
95,47,145,2925,0.32413793103448274,7833.333333333333,123166.66666666667,2020-04-04
96,45,173,3098,0.26011560693641617,7500.0,130666.66666666667,2020-04-05
97,47,176,3274,0.26704545454545453,7833.333333333333,138500.0,2020-04-06
98,41,149,3423,0.2751677852348993,6833.333333333333,145333.33333333334,2020-04-07
99,48,166,3589,0.2891566265060241,8000.0,153333.33333333334,2020-04-08
100,53,181,3770,0.292817679558011,8833.333333333334,162166.6666666667,2020-04-09
101,81,290,4060,0.2793103448275862,13500.0,175666.6666666667,2020-04-10
102,37,197,4257,0.18781725888324874,6166.666666666667,181833.33333333334,2020-04-11
103,54,208,4465,0.25961538461538464,9000.0,190833.33333333334,2020-04-12
