ag_grp,Hm_Unknown,Im_Unknown,Hm_White,Im_White,Hm_Black,Im_Black,Hm_Mixed,Im_Mixed,Hm_Yellow,Im_Yellow,Hm_Indigenous,Im_Indigenous
AG0t18,0.03578038247995065,0.11356707317073171,0.03434790001700391,0.17391304347826086,0.039182282793867124,0.18226600985221675,0.05205215904232578,0.2124333925399645,0.045112781954887216,0.2564102564102564,0.1450381679389313,0.4444444444444444
AG18t30,0.04839715604340776,0.2685288640595903,0.0495603135155802,0.30454545454545456,0.07927677329624479,0.3845029239766082,0.069274530534159,0.3481638418079096,0.03376205787781351,0.302158273381295,0.06880733944954129,0.4583333333333333
AG30t40,0.058335539669932046,0.26968481375358166,0.06418062366984362,0.33640600194602344,0.10985340508443125,0.4173076923076923,0.08987627756858527,0.40437295802965567,0.06200941915227629,0.3078817733990148,0.14393939393939395,0.5
AG40t50,0.08547238676479388,0.3415412360407852,0.09771272888550972,0.4140970515970516,0.16330926137083493,0.4837432852700028,0.1335190677331416,0.48014700310676667,0.0998896247240618,0.3907185628742515,0.1411764705882353,0.5189873417721519
AG50t65,0.14934618031658636,0.46338912133891214,0.17283606237273005,0.5547996564370339,0.2666892578786852,0.6199261992619927,0.22056643657190972,0.5995716965771123,0.16933497536945813,0.5159674389480275,0.2928082191780822,0.6293103448275862
AG65t75,0.26175374354279735,0.6059964552973611,0.3049934784429633,0.6906522563519151,0.41725073479538777,0.73003663003663,0.36562582161802687,0.7128136901966923,0.29727047146401986,0.6605657237936772,0.4205128205128205,0.75
AG75t85,0.3648945059536244,0.6814468263389428,0.4305007869751383,0.7613620910055212,0.5221507681314755,0.7951914514692787,0.4690807799442897,0.7737456242707118,0.40487804878048783,0.7474012474012474,0.5504587155963303,0.8165137614678899
AG85+,0.5032131011608624,0.7201853618645223,0.5902916138380728,0.7976183492696662,0.6443514644351465,0.809593023255814,0.5900669318071587,0.8047294224647568,0.5805991440798859,0.7916666666666666,0.5924170616113744,0.8431372549019608
