age_grp,mean_age_male,mean_age_female,mort_male,mort_female
AG0t18,6.600830682219866,7.4782522145914205,0.04507528531696557,0.04495956873315364
AG18t30,25.35629402203359,24.857147943742213,0.062495254005619255,0.052978643686774074
AG30t40,35.17825644504749,35.01320926252741,0.07346902565142452,0.07467029789774104
AG40t50,44.57091813843456,44.642043352343045,0.10829481297013321,0.1149223101729698
AG50t65,56.8594470864695,57.16842698572316,0.19568227760121817,0.18265644356647806
AG65t75,69.27304174320052,69.29816499223529,0.3455537084026016,0.3020782720084809
AG75t85,79.04242919946836,79.21919718206502,0.47217071465483174,0.4068493988803573
AG85+,89.19596032343601,89.71939815966178,0.6149699989830164,0.5557301865402453
