days,mortality
0,0.6764705882352942
1,0.4637253092117408
2,0.30238214084686543
3,0.23861435542662868
4,0.221455938697318
5,0.2233191098585305
6,0.234907276758718
7,0.24525411674599268
8,0.2774722634518254
9,0.31179693896831895
10,0.33294222018716196
11,0.3667770308685328
12,0.39306760438201593
13,0.41028885592111003
14,0.42565096816943576
15,0.440895538869258
16,0.45630206848490606
17,0.4818262568839936
18,0.47605514804716004
19,0.49678049646964784
20,0.4945161134463932
21,0.4948298955263863
22,0.4966856060606061
23,0.5077782209812525
24,0.5098558399529274
25,0.5122266160923251
26,0.5035762788592123
27,0.5072160844033045
28,0.48815513626834384
29,0.48437864304033573
30,0.4582278481012658
31,0.4367981196134761
32,0.4614924480334978
33,0.4553394858272907
34,0.44195138534761175
35,0.4281144147534814
36,0.4210097719869707
37,0.4489795918367347
38,0.42613232155560826
39,0.42114978902953587
40,0.41018306636155605
41,0.39235474006116206
42,0.3776864728192162
43,0.39745791824115423
44,0.3770053475935829
45,0.3570875290472502
46,0.3631820074968763
47,0.36910428385980093
48,0.3431327514928801
49,0.3363139592647789
50,0.3336898395721925
51,0.33276157804459694
52,0.3394988066825776
53,0.32023575638506874
54,0.31857813547954394
55,0.31620839363241676
56,0.2876911871813547
57,0.2946153846153846
58,0.2877813504823151
59,0.27037037037037037
60,0.30755395683453235
61,0.2787821122740247
62,0.27188465499485065
63,0.28804347826086957
64,0.24769585253456222
65,0.25754060324825984
66,0.2601307189542484
67,0.2677376171352075
68,0.2543741588156124
69,0.2692307692307692
70,0.2717241379310345
71,0.25617283950617287
72,0.3027681660899654
73,0.26454033771106944
74,0.2495446265938069
75,0.2618556701030928
76,0.27705627705627706
77,0.2692307692307692
78,0.24154589371980675
79,0.19904076738609114
80,0.27055702917771884
81,0.25129533678756477
82,0.25862068965517243
83,0.27860696517412936
84,0.26740947075208915
85,0.2647058823529412
86,0.2622478386167147
87,0.225
88,0.2616487455197133
