,cases,deaths,cases_cum,case_adj,case_adj_cum,date
0,1,0,1,0.0,0.0,2020-02-26
1,3,0,4,0.0,0.0,2020-02-27
2,3,1,7,166.66666666666666,166.66666666666666,2020-02-28
3,2,0,9,0.0,166.66666666666666,2020-02-29
4,11,1,20,166.66666666666666,333.3333333333333,2020-03-01
5,34,0,54,0.0,333.3333333333333,2020-03-02
6,27,0,81,0.0,333.3333333333333,2020-03-03
7,25,0,106,0.0,333.3333333333333,2020-03-04
8,42,2,148,333.3333333333333,666.6666666666666,2020-03-05
9,32,1,180,166.66666666666666,833.3333333333333,2020-03-06
10,45,1,225,166.66666666666666,999.9999999999999,2020-03-07
11,35,2,260,333.3333333333333,1333.3333333333333,2020-03-08
12,42,2,302,333.3333333333333,1666.6666666666665,2020-03-09
13,111,5,413,833.3333333333334,2500.0,2020-03-10
14,85,8,498,1333.3333333333333,3833.333333333333,2020-03-11
15,105,12,603,2000.0,5833.333333333333,2020-03-12
16,131,6,734,1000.0,6833.333333333333,2020-03-13
17,122,11,856,1833.3333333333333,8666.666666666666,2020-03-14
18,259,12,1115,2000.0,10666.666666666666,2020-03-15
19,252,12,1367,2000.0,12666.666666666666,2020-03-16
20,233,16,1600,2666.6666666666665,15333.333333333332,2020-03-17
21,222,22,1822,3666.6666666666665,19000.0,2020-03-18
22,214,9,2036,1500.0,20500.0,2020-03-19
23,378,17,2414,2833.3333333333335,23333.333333333332,2020-03-20
24,194,18,2608,3000.0,26333.333333333332,2020-03-21
25,205,22,2813,3666.6666666666665,30000.0,2020-03-22
26,301,17,3114,2833.3333333333335,32833.333333333336,2020-03-23
27,262,17,3376,2833.3333333333335,35666.66666666667,2020-03-24
28,293,25,3669,4166.666666666667,39833.333333333336,2020-03-25
29,276,29,3945,4833.333333333333,44666.66666666667,2020-03-26
30,276,30,4221,5000.0,49666.66666666667,2020-03-27
31,225,19,4446,3166.6666666666665,52833.333333333336,2020-03-28
32,223,23,4669,3833.333333333333,56666.66666666667,2020-03-29
33,300,24,4969,4000.0,60666.66666666667,2020-03-30
34,2338,21,7307,3500.0,64166.66666666667,2020-03-31
35,456,32,7763,5333.333333333333,69500.0,2020-04-01
36,2983,34,10746,5666.666666666667,75166.66666666667,2020-04-02
37,280,29,11026,4833.333333333333,80000.0,2020-04-03
38,256,21,11282,3500.0,83500.0,2020-04-04
39,254,23,11536,3833.333333333333,87333.33333333333,2020-04-05
40,241,19,11777,3166.6666666666665,90500.0,2020-04-06
41,256,12,12033,2000.0,92500.0,2020-04-07
42,292,27,12325,4500.0,97000.0,2020-04-08
43,269,24,12594,4000.0,101000.0,2020-04-09
44,414,32,13008,5333.333333333333,106333.33333333333,2020-04-10
45,276,26,13284,4333.333333333333,110666.66666666666,2020-04-11
46,305,22,13589,3666.6666666666665,114333.33333333333,2020-04-12
47,373,25,13962,4166.666666666667,118500.0,2020-04-13
48,346,38,14308,6333.333333333333,124833.33333333333,2020-04-14
49,442,27,14750,4500.0,129333.33333333333,2020-04-15
50,335,28,15085,4666.666666666667,134000.0,2020-04-16
51,410,39,15495,6500.0,140500.0,2020-04-17
52,443,50,15938,8333.333333333334,148833.33333333334,2020-04-18
53,393,34,16331,5666.666666666667,154500.0,2020-04-19
54,753,71,17084,11833.333333333334,166333.33333333334,2020-04-20
55,461,48,17545,8000.0,174333.33333333334,2020-04-21
56,538,44,18083,7333.333333333333,181666.6666666667,2020-04-22
57,543,40,18626,6666.666666666667,188333.33333333334,2020-04-23
58,577,46,19203,7666.666666666666,196000.0,2020-04-24
59,568,62,19771,10333.333333333334,206333.33333333334,2020-04-25
60,581,48,20352,8000.0,214333.33333333334,2020-04-26
61,650,46,21002,7666.666666666666,222000.0,2020-04-27
62,639,46,21641,7666.666666666666,229666.66666666666,2020-04-28
63,594,45,22235,7500.0,237166.66666666666,2020-04-29
64,907,70,23142,11666.666666666666,248833.3333333333,2020-04-30
65,6304,65,29446,10833.333333333334,259666.66666666666,2020-05-01
66,675,52,30121,8666.666666666666,268333.3333333333,2020-05-02
67,671,64,30792,10666.666666666666,279000.0,2020-05-03
68,3467,59,34259,9833.333333333334,288833.3333333333,2020-05-04
69,863,71,35122,11833.333333333334,300666.6666666666,2020-05-05
70,758,50,35880,8333.333333333334,308999.99999999994,2020-05-06
71,823,53,36703,8833.333333333334,317833.33333333326,2020-05-07
72,900,63,37603,10500.0,328333.33333333326,2020-05-08
73,780,54,38383,9000.0,337333.33333333326,2020-05-09
74,1082,72,39465,12000.0,349333.33333333326,2020-05-10
75,1248,59,40713,9833.333333333334,359166.66666666657,2020-05-11
76,1141,59,41854,9833.333333333334,368999.9999999999,2020-05-12
77,1035,59,42889,9833.333333333334,378833.3333333332,2020-05-13
78,1051,63,43940,10500.0,389333.3333333332,2020-05-14
79,1549,85,45489,14166.666666666666,403499.9999999999,2020-05-15
80,954,62,46443,10333.333333333334,413833.3333333332,2020-05-16
81,1086,59,47529,9833.333333333334,423666.6666666665,2020-05-17
82,1584,85,49113,14166.666666666666,437833.3333333332,2020-05-18
83,1341,86,50454,14333.333333333334,452166.6666666665,2020-05-19
84,1732,105,52186,17500.0,469666.6666666665,2020-05-20
85,1516,85,53702,14166.666666666666,483833.3333333332,2020-05-21
86,1451,87,55153,14500.0,498333.3333333332,2020-05-22
87,1237,77,56390,12833.333333333334,511166.6666666665,2020-05-23
88,1111,81,57501,13500.0,524666.6666666665,2020-05-24
89,1907,114,59408,19000.0,543666.6666666665,2020-05-25
90,1626,77,61034,12833.333333333334,556499.9999999999,2020-05-26
91,1609,81,62643,13500.0,569999.9999999999,2020-05-27
92,1714,88,64357,14666.666666666666,584666.6666666665,2020-05-28
93,1703,93,66060,15500.0,600166.6666666665,2020-05-29
94,1654,115,67714,19166.666666666668,619333.3333333331,2020-05-30
95,1489,109,69203,18166.666666666668,637499.9999999998,2020-05-31
96,3155,155,72358,25833.333333333332,663333.3333333331,2020-06-01
97,2072,117,74430,19500.0,682833.3333333331,2020-06-02
98,2203,121,76633,20166.666666666668,702999.9999999998,2020-06-03
99,2194,128,78827,21333.333333333332,724333.3333333331,2020-06-04
100,2568,134,81395,22333.333333333332,746666.6666666665,2020-06-05
101,2291,136,83686,22666.666666666668,769333.3333333331,2020-06-06
102,2133,132,85819,22000.0,791333.3333333331,2020-06-07
103,2961,141,88780,23500.0,814833.3333333331,2020-06-08
104,2627,128,91407,21333.333333333332,836166.6666666665,2020-06-09
105,3708,198,95115,33000.0,869166.6666666665,2020-06-10
106,3258,112,98373,18666.666666666668,887833.3333333331,2020-06-11
107,3193,149,101566,24833.333333333332,912666.6666666665,2020-06-12
108,2624,128,104190,21333.333333333332,933999.9999999999,2020-06-13
109,2714,143,106904,23833.333333333332,957833.3333333333,2020-06-14
110,4401,186,111305,31000.0,988833.3333333333,2020-06-15
111,3658,160,114963,26666.666666666668,1015499.9999999999,2020-06-16
112,3274,148,118237,24666.666666666668,1040166.6666666665,2020-06-17
113,3747,183,121984,30500.0,1070666.6666666665,2020-06-18
114,3749,168,125733,28000.0,1098666.6666666665,2020-06-19
115,4096,192,129829,32000.0,1130666.6666666665,2020-06-20
116,2928,151,132757,25166.666666666668,1155833.3333333333,2020-06-21
117,4147,188,136904,31333.333333333332,1187166.6666666665,2020-06-22
118,3557,159,140461,26500.0,1213666.6666666665,2020-06-23
119,3882,158,144343,26333.333333333332,1239999.9999999998,2020-06-24
120,5010,188,149353,31333.333333333332,1271333.333333333,2020-06-25
121,4261,172,153614,28666.666666666668,1299999.9999999998,2020-06-26
122,3217,156,156831,26000.0,1325999.9999999998,2020-06-27
123,3502,166,160333,27666.666666666668,1353666.6666666665,2020-06-28
124,4199,170,164532,28333.333333333332,1381999.9999999998,2020-06-29
125,4349,218,168881,36333.333333333336,1418333.333333333,2020-06-30
126,5967,308,174848,51333.333333333336,1469666.6666666663,2020-07-01
127,4609,209,179457,34833.333333333336,1504499.9999999995,2020-07-02
128,5065,213,184522,35500.0,1539999.9999999995,2020-07-03
129,4250,209,188772,34833.333333333336,1574833.3333333328,2020-07-04
130,4447,201,193219,33500.0,1608333.3333333328,2020-07-05
131,5785,241,199004,40166.666666666664,1648499.9999999995,2020-07-06
132,5043,208,204047,34666.666666666664,1683166.6666666663,2020-07-07
133,5015,211,209062,35166.666666666664,1718333.333333333,2020-07-08
134,4851,222,213913,37000.0,1755333.333333333,2020-07-09
135,6720,288,220633,48000.0,1803333.333333333,2020-07-10
136,4330,204,224963,34000.0,1837333.333333333,2020-07-11
137,4365,183,229328,30500.0,1867833.333333333,2020-07-12
138,6285,198,235613,33000.0,1900833.333333333,2020-07-13
139,5147,208,240760,34666.666666666664,1935499.9999999998,2020-07-14
140,5779,226,246539,37666.666666666664,1973166.6666666665,2020-07-15
141,5056,219,251595,36500.0,2009666.6666666665,2020-07-16
142,5898,199,257493,33166.666666666664,2042833.3333333333,2020-07-17
143,4796,169,262289,28166.666666666668,2071000.0,2020-07-18
144,4445,184,266734,30666.666666666664,2101666.6666666665,2020-07-19
145,7257,291,273991,48500.0,2150166.6666666665,2020-07-20
146,4692,182,278683,30333.333333333332,2180500.0,2020-07-21
147,4841,192,283524,32000.0,2212500.0,2020-07-22
148,5030,192,288554,32000.0,2244500.0,2020-07-23
149,5222,197,293776,32833.333333333336,2277333.3333333335,2020-07-24
150,4538,180,298314,30000.0,2307333.3333333335,2020-07-25
151,3738,165,302052,27500.0,2334833.3333333335,2020-07-26
152,5351,193,307403,32166.666666666664,2367000.0,2020-07-27
153,4486,177,311889,29500.0,2396500.0,2020-07-28
154,4088,147,315977,24500.0,2421000.0,2020-07-29
155,4264,150,320241,25000.0,2446000.0,2020-07-30
156,4749,175,324990,29166.666666666664,2475166.6666666665,2020-07-31
157,5064,219,330054,36500.0,2511666.6666666665,2020-08-01
158,3580,157,333634,26166.666666666668,2537833.333333333,2020-08-02
159,4970,152,338604,25333.333333333332,2563166.6666666665,2020-08-03
160,4100,145,342704,24166.666666666668,2587333.333333333,2020-08-04
161,4167,135,346871,22500.0,2609833.333333333,2020-08-05
162,3955,151,350826,25166.666666666668,2634999.9999999995,2020-08-06
163,4493,175,355319,29166.666666666664,2664166.666666666,2020-08-07
164,3656,153,358975,25500.0,2689666.666666666,2020-08-08
165,3493,148,362468,24666.666666666668,2714333.3333333326,2020-08-09
166,5584,215,368052,35833.333333333336,2750166.666666666,2020-08-10
167,3826,120,371878,20000.0,2770166.666666666,2020-08-11
168,3980,123,375858,20500.0,2790666.666666666,2020-08-12
169,3734,136,379592,22666.666666666668,2813333.3333333326,2020-08-13
170,4140,138,383732,23000.0,2836333.3333333326,2020-08-14
171,3554,151,387286,25166.666666666668,2861499.999999999,2020-08-15
172,2781,126,390067,21000.0,2882499.999999999,2020-08-16
173,3943,114,394010,19000.0,2901499.999999999,2020-08-17
174,3449,119,397459,19833.333333333332,2921333.3333333326,2020-08-18
175,3333,124,400792,20666.666666666668,2941999.999999999,2020-08-19
176,4059,174,404851,29000.0,2970999.999999999,2020-08-20
177,3567,134,408418,22333.333333333332,2993333.3333333326,2020-08-21
178,2833,99,411251,16500.0,3009833.3333333326,2020-08-22
179,2832,122,414083,20333.333333333332,3030166.666666666,2020-08-23
180,3984,107,418067,17833.333333333332,3047999.9999999995,2020-08-24
181,3629,115,421696,19166.666666666668,3067166.666666666,2020-08-25
182,3063,132,424759,22000.0,3089166.666666666,2020-08-26
183,3337,120,428096,20000.0,3109166.666666666,2020-08-27
184,3763,120,431859,20000.0,3129166.666666666,2020-08-28
185,5878,89,437737,14833.333333333332,3143999.9999999995,2020-08-29
186,2565,113,440302,18833.333333333332,3162833.333333333,2020-08-30
187,3853,144,444155,24000.0,3186833.333333333,2020-08-31
188,4240,173,448395,28833.333333333332,3215666.6666666665,2020-09-01
189,3287,88,451682,14666.666666666666,3230333.333333333,2020-09-02
190,3470,120,455152,20000.0,3250333.333333333,2020-09-03
191,3435,114,458587,19000.0,3269333.333333333,2020-09-04
192,2610,89,461197,14833.333333333332,3284166.6666666665,2020-09-05
193,2228,87,463425,14500.0,3298666.6666666665,2020-09-06
194,2612,110,466037,18333.333333333332,3317000.0,2020-09-07
195,3635,106,469672,17666.666666666668,3334666.6666666665,2020-09-08
196,3327,113,472999,18833.333333333332,3353500.0,2020-09-09
197,4177,133,477176,22166.666666666668,3375666.6666666665,2020-09-10
198,3249,89,480425,14833.333333333332,3390500.0,2020-09-11
199,2383,99,482808,16500.0,3407000.0,2020-09-12
200,2178,75,484986,12500.0,3419500.0,2020-09-13
201,3548,121,488534,20166.666666666668,3439666.6666666665,2020-09-14
202,3068,102,491602,17000.0,3456666.6666666665,2020-09-15
203,2726,92,494328,15333.333333333332,3472000.0,2020-09-16
204,3005,115,497333,19166.666666666668,3491166.6666666665,2020-09-17
205,2997,79,500330,13166.666666666666,3504333.333333333,2020-09-18
206,2402,87,502732,14500.0,3518833.333333333,2020-09-19
207,2607,99,505339,16500.0,3535333.333333333,2020-09-20
208,3335,101,508674,16833.333333333332,3552166.6666666665,2020-09-21
209,2813,75,511487,12500.0,3564666.6666666665,2020-09-22
210,2789,90,514276,15000.0,3579666.6666666665,2020-09-23
211,2731,106,517007,17666.666666666668,3597333.333333333,2020-09-24
212,3012,78,520019,13000.0,3610333.333333333,2020-09-25
213,3330,75,523349,12500.0,3622833.333333333,2020-09-26
214,2040,84,525389,14000.0,3636833.333333333,2020-09-27
215,2923,77,528312,12833.333333333334,3649666.6666666665,2020-09-28
216,2449,74,530761,12333.333333333334,3662000.0,2020-09-29
217,2447,73,533208,12166.666666666666,3674166.6666666665,2020-09-30
218,3054,112,536262,18666.666666666668,3692833.333333333,2020-10-01
219,2475,100,538737,16666.666666666668,3709499.9999999995,2020-10-02
220,1957,66,540694,11000.0,3720499.9999999995,2020-10-03
221,1789,74,542483,12333.333333333334,3732833.333333333,2020-10-04
222,2693,79,545176,13166.666666666666,3745999.9999999995,2020-10-05
223,2203,67,547379,11166.666666666666,3757166.666666666,2020-10-06
224,2117,75,549496,12500.0,3769666.666666666,2020-10-07
225,2266,73,551762,12166.666666666666,3781833.3333333326,2020-10-08
226,2516,91,554278,15166.666666666666,3796999.999999999,2020-10-09
227,2440,105,556718,17500.0,3814499.999999999,2020-10-10
228,1744,57,558462,9500.0,3823999.999999999,2020-10-11
229,2145,70,560607,11666.666666666666,3835666.6666666656,2020-10-12
230,2547,63,563154,10500.0,3846166.6666666656,2020-10-13
231,2374,68,565528,11333.333333333334,3857499.999999999,2020-10-14
232,2692,71,568220,11833.333333333334,3869333.3333333326,2020-10-15
233,2743,85,570963,14166.666666666666,3883499.999999999,2020-10-16
234,2682,58,573645,9666.666666666666,3893166.6666666656,2020-10-17
235,2152,69,575797,11500.0,3904666.6666666656,2020-10-18
236,3069,64,578866,10666.666666666666,3915333.333333332,2020-10-19
237,2945,88,581811,14666.666666666666,3929999.9999999986,2020-10-20
238,2450,80,584261,13333.333333333334,3943333.333333332,2020-10-21
239,2617,75,586878,12500.0,3955833.333333332,2020-10-22
240,2835,68,589713,11333.333333333334,3967166.6666666656,2020-10-23
241,2348,76,592061,12666.666666666666,3979833.333333332,2020-10-24
242,2390,98,594451,16333.333333333332,3996166.6666666656,2020-10-25
243,3188,84,597639,14000.0,4010166.6666666656,2020-10-26
244,2639,73,600278,12166.666666666666,4022333.333333332,2020-10-27
245,2663,87,602941,14500.0,4036833.333333332,2020-10-28
246,2440,81,605381,13500.0,4050333.333333332,2020-10-29
247,2899,95,608280,15833.333333333332,4066166.6666666656,2020-10-30
248,2488,73,610768,12166.666666666666,4078333.333333332,2020-10-31
249,3525,117,614293,19500.0,4097833.333333332,2020-11-01
250,3387,101,617680,16833.333333333332,4114666.6666666656,2020-11-02
251,4043,95,621723,15833.333333333332,4130499.999999999,2020-11-03
252,3611,86,625334,14333.333333333334,4144833.3333333326,2020-11-04
253,4089,106,629423,17666.666666666668,4162499.999999999,2020-11-05
254,4415,134,633838,22333.333333333332,4184833.3333333326,2020-11-06
255,3960,134,637798,22333.333333333332,4207166.666666666,2020-11-07
256,4154,116,641952,19333.333333333332,4226499.999999999,2020-11-08
257,5624,127,647576,21166.666666666668,4247666.666666666,2020-11-09
258,5522,165,653098,27500.0,4275166.666666666,2020-11-10
259,4954,142,658052,23666.666666666668,4298833.333333333,2020-11-11
260,5065,135,663117,22500.0,4321333.333333333,2020-11-12
261,5706,144,668823,24000.0,4345333.333333333,2020-11-13
262,4985,137,673808,22833.333333333332,4368166.666666666,2020-11-14
263,5453,156,679261,26000.0,4394166.666666666,2020-11-15
264,6391,138,685652,23000.0,4417166.666666666,2020-11-16
265,5545,144,691197,24000.0,4441166.666666666,2020-11-17
266,5699,159,696896,26500.0,4467666.666666666,2020-11-18
267,5855,170,702751,28333.333333333332,4495999.999999999,2020-11-19
268,7530,221,710281,36833.333333333336,4532833.333333332,2020-11-20
269,5499,122,715780,20333.333333333332,4553166.666666665,2020-11-21
270,5692,145,721472,24166.666666666668,4577333.333333332,2020-11-22
271,7447,199,728919,33166.666666666664,4610499.999999999,2020-11-23
272,6034,145,734953,24166.666666666668,4634666.666666666,2020-11-24
273,6424,183,741377,30500.0,4665166.666666666,2020-11-25
274,6291,162,747668,27000.0,4692166.666666666,2020-11-26
275,7103,177,754771,29500.0,4721666.666666666,2020-11-27
276,6100,168,760871,28000.0,4749666.666666666,2020-11-28
277,5656,151,766527,25166.666666666668,4774833.333333333,2020-11-29
278,8423,213,774950,35500.0,4810333.333333333,2020-11-30
279,8029,272,782979,45333.333333333336,4855666.666666666,2020-12-01
280,6172,171,789151,28500.0,4884166.666666666,2020-12-02
281,6189,149,795340,24833.333333333332,4908999.999999999,2020-12-03
282,7082,188,802422,31333.333333333332,4940333.333333332,2020-12-04
283,6355,170,808777,28333.333333333332,4968666.666666665,2020-12-05
284,5557,150,814334,25000.0,4993666.666666665,2020-12-06
285,7143,185,821477,30833.333333333332,5024499.999999998,2020-12-07
286,5973,182,827450,30333.333333333332,5054833.333333331,2020-12-08
287,6024,143,833474,23833.333333333332,5078666.666666664,2020-12-09
288,6539,209,840013,34833.333333333336,5113499.999999997,2020-12-10
289,6259,165,846272,27500.0,5140999.999999997,2020-12-11
290,5505,148,851777,24666.666666666668,5165666.666666664,2020-12-12
291,5132,177,856909,29500.0,5195166.666666664,2020-12-13
292,6874,181,863783,30166.666666666664,5225333.333333331,2020-12-14
293,6055,162,869838,27000.0,5252333.333333331,2020-12-15
294,5220,128,875058,21333.333333333332,5273666.666666664,2020-12-16
295,5443,157,880501,26166.666666666668,5299833.333333331,2020-12-17
296,5777,182,886278,30333.333333333332,5330166.666666664,2020-12-18
297,4710,137,890988,22833.333333333332,5352999.999999997,2020-12-19
298,5072,202,896060,33666.666666666664,5386666.666666664,2020-12-20
299,5318,159,901378,26500.0,5413166.666666664,2020-12-21
300,4949,135,906327,22500.0,5435666.666666664,2020-12-22
301,5622,149,911949,24833.333333333332,5460499.999999997,2020-12-23
302,5363,158,917312,26333.333333333332,5486833.33333333,2020-12-24
303,5639,200,922951,33333.333333333336,5520166.666666663,2020-12-25
304,5777,174,928728,29000.0,5549166.666666663,2020-12-26
305,5391,173,934119,28833.333333333332,5577999.999999996,2020-12-27
306,6735,181,940854,30166.666666666664,5608166.666666663,2020-12-28
307,5144,153,945998,25500.0,5633666.666666663,2020-12-29
308,5973,184,951971,30666.666666666664,5664333.33333333,2020-12-30
309,6086,181,958057,30166.666666666664,5694499.999999997,2020-12-31
310,8681,247,966738,41166.666666666664,5735666.666666664,2021-01-01
311,7921,208,974659,34666.666666666664,5770333.333333331,2021-01-02
312,7917,209,982576,34833.333333333336,5805166.666666664,2021-01-03
313,9344,214,991920,35666.666666666664,5840833.333333331,2021-01-04
314,7251,197,999171,32833.333333333336,5873666.666666664,2021-01-05
315,6520,195,1005691,32500.0,5906166.666666664,2021-01-06
316,6459,148,1012150,24666.666666666668,5930833.333333331,2021-01-07
317,7027,208,1019177,34666.666666666664,5965499.999999998,2021-01-08
318,6189,177,1025366,29500.0,5994999.999999998,2021-01-09
319,6474,233,1031840,38833.333333333336,6033833.333333331,2021-01-10
320,6965,184,1038805,30666.666666666664,6064499.999999998,2021-01-11
321,5859,153,1044664,25500.0,6089999.999999998,2021-01-12
322,5675,176,1050339,29333.333333333332,6119333.333333331,2021-01-13
323,5780,156,1056119,26000.0,6145333.333333331,2021-01-14
324,6787,185,1062906,30833.333333333332,6176166.666666664,2021-01-15
325,5494,170,1068400,28333.333333333332,6204499.999999997,2021-01-16
326,5257,154,1073657,25666.666666666668,6230166.666666664,2021-01-17
327,6788,187,1080445,31166.666666666664,6261333.333333331,2021-01-18
328,5809,163,1086254,27166.666666666668,6288499.999999998,2021-01-19
329,6279,210,1092533,35000.0,6323499.999999998,2021-01-20
330,5373,165,1097906,27500.0,6350999.999999998,2021-01-21
331,5485,148,1103391,24666.666666666668,6375666.666666665,2021-01-22
332,5157,164,1108548,27333.333333333332,6402999.999999998,2021-01-23
333,5077,139,1113625,23166.666666666668,6426166.666666665,2021-01-24
334,6478,202,1120103,33666.666666666664,6459833.333333332,2021-01-25
335,5020,137,1125123,22833.333333333332,6482666.666666665,2021-01-26
336,4799,154,1129922,25666.666666666668,6508333.333333332,2021-01-27
337,4870,161,1134792,26833.333333333332,6535166.666666665,2021-01-28
338,4655,155,1139447,25833.333333333332,6560999.999999998,2021-01-29
339,4177,156,1143624,26000.0,6586999.999999998,2021-01-30
340,4200,154,1147824,25666.666666666668,6612666.666666665,2021-01-31
341,6694,275,1154518,45833.333333333336,6658499.999999998,2021-02-01
342,4832,223,1159350,37166.666666666664,6695666.666666665,2021-02-02
343,4636,193,1163986,32166.666666666664,6727833.333333332,2021-02-03
