variable,value,std,z_val,odd,sum_col
MORTE,-2.4255271629895523,0.008649146751913396,280.435427049838,0.08843148894425387,562127.0
eUTI,1.6028404825047653,0.004034006316045686,397.3321697909342,4.967121426651449,565883.0
NVACC,0.265756513821833,0.0060347326571738155,44.037827177963514,1.3044174124067764,1524560.0
SEXO,0.12844293059933226,0.0038176640003798642,33.64437797211907,1.1370565283049354,950247.0
PNEUMOPATI,0.29132758903787687,0.010475568171491721,27.810194565932726,1.3382028927516567,50213.0
IMUNODEPRE,0.5814900287771942,0.01269319903940935,45.81114870820245,1.7887016630627197,34549.0
OBESIDADE,0.39439243829276693,0.006689054848524234,58.96086176954871,1.4834826098384928,141771.0
SIND_DOWN,0.5065553672763173,0.036095584549629994,14.033721121203172,1.6595647468188799,4427.0
RENAL,0.5491902769155365,0.010214659916261514,53.7649105714462,1.7318501309392276,53520.0
NEUROLOGIC,0.44949134341905855,0.010297556301623113,43.650292385214655,1.5675146560275488,52541.0
DIABETES,0.1659197308597393,0.004549505533063151,36.469838239327665,1.1804783419385798,379643.0
PUERPERA,0.2306465249032925,0.041406093614640066,5.570352205882618,1.2594139892797886,4359.0
OUT_MORBI,0.12191367620395543,0.0042529505678969605,28.665669693932152,1.1296565813268844,432921.0
HEMATOLOGI,0.20712795213568327,0.02369572598670923,8.741152402414677,1.2301399607465777,10157.0
ASMA,-0.1587095180068797,0.012883869107522644,12.318467122132766,0.8532441750429202,40523.0
HEPATICA,0.5358209773387342,0.020907558244020463,25.62809923019004,1.7088505941389571,12258.0
CARDIOPATI,0.0304786738645406,0.004238565070092526,7.190800037399276,1.030947903679694,530402.0
AG50t65_AG65t75,0.6231426565164032,0.005219520279426475,119.38695955883414,1.8647792034505004,315525.0
AG50t65_AG40t50,-0.551291297625134,0.0062385911258459985,88.36791616959428,0.576205277270895,274226.0
AG50t65_AG75t85,1.0444366728237633,0.005927604050331443,176.19879194956744,2.8417972110643204,214458.0
AG50t65_AG30t40,-0.9258951103659138,0.008034624979528084,115.23812408482772,0.39617663849894214,182714.0
AG50t65_AG85+,1.5230410165752757,0.007846009845184404,194.11663337512417,4.586150570663801,105511.0
AG50t65_AG18t30,-1.1817458500155988,0.013186105248814858,89.62053826483843,0.30674274402975893,70564.0
AG50t65_AG0t18,-1.7747082395225842,0.024342680336524734,72.90521072405247,0.16953290528588125,27873.0
BDI_0_BDI_1,-0.012298008717911084,0.0060046666280987255,2.048075185450393,0.9877773027481455,343151.0
BDI_0_BDI_2,0.1520024270038789,0.006017558351896182,25.259817705960707,1.1641630618569505,341069.0
BDI_0_BDI_3,0.332410996770794,0.005987664529627348,55.5159687263712,1.3943257941638814,338606.0
BDI_0_BDI_4,0.37791559624192217,0.005980813329273148,63.18799391250194,1.4592397723571189,343734.0
T4t12_T0t4,0.7220054173538045,0.005036330830395609,143.3594101873348,2.058557340575445,349120.0
T4t12_T12t40,0.4726211673312311,0.004436363798731898,106.533455950192,1.6041935469268478,481573.0
T4t12_TM40,-0.5255197178867831,0.0093614941296507,56.13630800902842,0.5912480023406209,87397.0
