name,mean,CIme_L,CIme_H,median,CImd_L,CImd_H
BDIGRP_BDI3_MORTE,9.580806026365348,9.58048800407796,9.581124048652736,8.0,8.0,8.0
BDIGRP_BDI0,9.257353149863297,9.257205867875875,9.257500431850719,9.0,8.0,9.0
BDIGRP_BDI0_CURA,9.295883977299907,9.295579639859579,9.296188314740235,9.0,9.0,9.0
BDIGRP_BDI0_MORTE,9.227676178992498,9.227396878775137,9.227955479209859,8.0,8.0,8.0
BDIGRP_BDI4,9.343983179306635,9.343782505090482,9.344183853522788,8.0,8.0,8.0
BDIGRP_BDI4_CURA,9.178243146031493,9.177737210487454,9.178749081575532,9.0,8.0,9.0
BDIGRP_BDI4_MORTE,9.440097648403944,9.439767696743921,9.440427600063966,8.0,8.0,8.0
BDIGRP_,9.37630786871148,9.3751737963733,9.37744194104966,9.0,9.0,9.0
BDIGRP__CURA,8.919241862381542,8.917382911200416,8.921100813562667,9.0,8.0,9.0
BDIGRP__MORTE,9.875018732204406,9.872329846047004,9.877707618361809,9.0,9.0,9.0
VACINA_False,9.028692798768615,9.028655126760006,9.028730470777225,8.0,8.0,8.0
VACINA_False_MORTE,9.12001501491064,9.11994364614181,9.120086383679471,8.0,8.0,8.0
VACINA_False_CURA,8.903537727985062,8.90346163349182,8.903613822478304,8.0,8.0,8.0
VACINA_True,8.814518079086938,8.814258269702728,8.814777888471147,8.0,8.0,8.0
VACINA_True_CURA,8.781963470319635,8.781373975636615,8.782552965002655,8.0,8.0,8.0
VACINA_True_MORTE,8.835808558858819,8.835352243990753,8.836264873726885,8.0,8.0,8.0
COMOR_YES,8.896117494275483,8.896073049184496,8.89616193936647,8.0,8.0,8.0
COMOR_YES_MORTE,8.945693384533126,8.945618466414368,8.945768302651883,8.0,8.0,8.0
COMOR_YES_CURA,8.812635140204765,8.812528424029816,8.812741856379715,8.0,8.0,8.0
COMOR_NO,9.262627782022973,9.262503749508364,9.262751814537582,9.0,8.0,9.0
COMOR_NO_CURA,9.021284345193381,9.021100946999011,9.02146774338775,9.0,9.0,9.0
COMOR_NO_MORTE,9.53328312676308,9.532967916597311,9.53359833692885,8.0,8.0,8.0
