variable,value,std,z_val,odd,sum_col
MORTE,-4.2186093659079,0.02765675545723499,152.5345000222835,0.014719099160232098,477596.0
eUTI,1.6466248516549467,0.0044611166713153854,369.1059824197402,5.189435122479158,460862.0
NVACC,0.2567410072486793,0.006500139262010943,39.49777026304073,1.2927102808076012,1242734.0
SEXO,0.13341611704099374,0.004196776094522118,31.79014415735364,1.1427254069262238,777193.0
PNEUMOPATI,0.29719076444961234,0.011426593995637188,26.008692053212304,1.3460720576523668,42624.0
IMUNODEPRE,0.5772587875315809,0.01374548145066559,41.996258159704446,1.781149224173198,29634.0
OBESIDADE,0.4016554223436382,0.0072751477375806,55.20924616676052,1.49429634282242,120053.0
SIND_DOWN,0.4945042061700638,0.038895396056841725,12.713695097676739,1.639685091745465,3822.0
RENAL,0.5386635093623954,0.01118423633422813,48.16274381773164,1.7137149669688823,45166.0
NEUROLOGIC,0.46093814530414634,0.011289162071150381,40.83014686112803,1.585560773867879,44068.0
DIABETES,0.16503140977087682,0.004983759778669359,33.11383716310248,1.1794301637608082,316303.0
PUERPERA,0.20882021632235978,0.044205531295813755,4.72384812943386,1.232223444952385,3774.0
OUT_MORBI,0.1277258983398243,0.00466877810323078,27.357457457967083,1.1362415143238338,360060.0
HEMATOLOGI,0.1842560326213478,0.025752564269196587,7.15486157787176,1.202323617759446,8624.0
ASMA,-0.15737245863007046,0.014058232626268074,11.194327396177599,0.854385776192057,33582.0
HEPATICA,0.5327982249622056,0.022687129686467362,23.484602606208675,1.7036929609954332,10504.0
CARDIOPATI,0.04386916921485203,0.004654724988362963,9.424653298428385,1.0448456479694197,438046.0
AG0t18_AG18t30,0.5712750454873537,0.02942167724361248,19.41680757208969,1.7705231103413195,58468.0
AG0t18_AG30t40,0.8495649963162432,0.02720771114463556,31.22515494963819,2.3386293182582056,148387.0
AG0t18_AG40t50,1.2230822321056432,0.026694301738978434,45.8181017081906,3.397643938348738,222733.0
AG0t18_AG50t65,1.7719940882809848,0.02637309762903631,67.18945621048515,5.88257204142802,422078.0
AG0t18_AG65t75,2.396565742463557,0.026535629175302482,90.31501482897242,10.985384884089896,260323.0
AG0t18_AG75t85,2.8254192631928525,0.02671402185838473,105.76540208624701,16.86801564184769,177603.0
AG0t18_AG85+,3.327593537836117,0.027307595307022536,121.85597085439373,27.871189972462354,86718.0
Branca_Preta,0.2928360942142341,0.009194065363772916,31.850556051960094,1.3402231021074271,74083.0
Branca_Parda,0.10454979955424662,0.004718594288715243,22.15698005744693,1.1102106804865888,574872.0
Branca_Amarela,-0.13556255893879707,0.01937790721120253,6.995727529360199,0.8732245332195789,16836.0
Branca_Indigena,0.3491142428169888,0.04168719846884332,8.37461512502247,1.4178111558305133,3410.0
BDI_0_BDI_1,0.0624615700197718,0.006677966150723631,9.353382243934167,1.0644535512028965,257710.0
BDI_0_BDI_2,0.15588143553265804,0.006565365385863651,23.74299469581652,1.168687630048766,280363.0
BDI_0_BDI_3,0.3167346182777275,0.0067322052671226216,47.04767690678295,1.3726382504825008,273533.0
BDI_0_BDI_4,0.32180740200098923,0.006952340624039687,46.28763453968998,1.3796190385016043,293435.0
T4t12_T12t40,0.4765417317381099,0.004885808873579951,97.53589304629024,1.6104952360659,395543.0
T4t12_T0t4,0.7293218448239822,0.0055212217804578596,132.09428525501136,2.07367385807055,288433.0
T4t12_TM40,-0.5201321989007472,0.010403665280421047,49.99509162214194,0.594441958202136,68807.0
