,cases,deaths,cases_cum,case_adj,case_adj_cum,date
0,1,0,1,0.0,0.0,2020-02-26
1,3,0,4,0.0,0.0,2020-02-27
2,2,0,6,0.0,0.0,2020-02-28
3,4,0,10,0.0,0.0,2020-02-29
4,3,0,13,0.0,0.0,2020-03-01
5,4,0,17,0.0,0.0,2020-03-02
6,1,0,18,0.0,0.0,2020-03-03
7,2,0,20,0.0,0.0,2020-03-04
8,1,0,21,0.0,0.0,2020-03-05
9,2,0,23,0.0,0.0,2020-03-06
10,1,0,24,0.0,0.0,2020-03-07
11,1,0,25,0.0,0.0,2020-03-08
12,1,0,26,0.0,0.0,2020-03-09
13,1,0,27,0.0,0.0,2020-03-10
14,1,0,28,0.0,0.0,2020-03-11
15,1,0,29,0.0,0.0,2020-03-12
16,2,0,31,0.0,0.0,2020-03-13
17,1,0,32,0.0,0.0,2020-03-14
18,2,0,34,0.0,0.0,2020-03-15
19,2,0,36,0.0,0.0,2020-03-16
20,3,0,39,0.0,0.0,2020-03-17
21,1,0,40,0.0,0.0,2020-03-18
22,31,6,71,1000.0,1000.0,2020-03-19
23,68,7,139,1166.6666666666667,2166.666666666667,2020-03-20
24,75,5,214,833.3333333333334,3000.0000000000005,2020-03-21
25,46,2,260,333.3333333333333,3333.333333333334,2020-03-22
26,69,10,329,1666.6666666666667,5000.000000000001,2020-03-23
27,76,9,405,1500.0,6500.000000000001,2020-03-24
28,54,6,459,1000.0,7500.000000000001,2020-03-25
29,75,10,534,1666.6666666666667,9166.666666666668,2020-03-26
30,132,8,666,1333.3333333333333,10500.000000000002,2020-03-27
31,261,21,927,3500.0,14000.000000000002,2020-03-28
32,155,27,1082,4500.0,18500.0,2020-03-29
33,211,31,1293,5166.666666666667,23666.666666666668,2020-03-30
34,285,35,1578,5833.333333333333,29500.0,2020-03-31
35,352,39,1930,6500.0,36000.0,2020-04-01
36,586,47,2516,7833.333333333333,43833.333333333336,2020-04-02
37,510,61,3026,10166.666666666666,54000.0,2020-04-03
38,485,47,3511,7833.333333333333,61833.333333333336,2020-04-04
39,545,85,4056,14166.666666666666,76000.0,2020-04-05
40,548,70,4604,11666.666666666666,87666.66666666667,2020-04-06
41,983,104,5587,17333.333333333332,105000.0,2020-04-07
42,618,94,6205,15666.666666666666,120666.66666666667,2020-04-08
43,657,89,6862,14833.333333333332,135500.0,2020-04-09
44,914,139,7776,23166.666666666668,158666.66666666666,2020-04-10
45,779,110,8555,18333.333333333332,177000.0,2020-04-11
46,880,120,9435,20000.0,197000.0,2020-04-12
47,766,112,10201,18666.666666666668,215666.66666666666,2020-04-13
48,828,104,11029,17333.333333333332,233000.0,2020-04-14
49,811,112,11840,18666.666666666668,251666.66666666666,2020-04-15
50,769,112,12609,18666.666666666668,270333.3333333333,2020-04-16
51,1048,127,13657,21166.666666666668,291500.0,2020-04-17
52,807,110,14464,18333.333333333332,309833.3333333333,2020-04-18
53,1462,179,15926,29833.333333333332,339666.6666666666,2020-04-19
54,997,149,16923,24833.333333333332,364499.99999999994,2020-04-20
55,1019,146,17942,24333.333333333332,388833.33333333326,2020-04-21
56,969,159,18911,26500.0,415333.33333333326,2020-04-22
57,1065,160,19976,26666.666666666668,441999.99999999994,2020-04-23
58,1139,169,21115,28166.666666666668,470166.6666666666,2020-04-24
59,1072,171,22187,28500.0,498666.6666666666,2020-04-25
60,1100,170,23287,28333.333333333332,527000.0,2020-04-26
61,1166,179,24453,29833.333333333332,556833.3333333334,2020-04-27
62,1671,229,26124,38166.666666666664,595000.0,2020-04-28
63,1141,187,27265,31166.666666666664,626166.6666666666,2020-04-29
64,1418,228,28683,38000.0,664166.6666666666,2020-04-30
65,1514,208,30197,34666.666666666664,698833.3333333333,2020-05-01
66,1554,261,31751,43500.0,742333.3333333333,2020-05-02
67,1748,283,33499,47166.666666666664,789499.9999999999,2020-05-03
68,1425,203,34924,33833.333333333336,823333.3333333333,2020-05-04
69,1698,262,36622,43666.666666666664,866999.9999999999,2020-05-05
70,1692,291,38314,48500.0,915499.9999999999,2020-05-06
71,1593,250,39907,41666.666666666664,957166.6666666665,2020-05-07
72,2637,394,42544,65666.66666666667,1022833.3333333331,2020-05-08
73,1690,233,44234,38833.333333333336,1061666.6666666665,2020-05-09
74,2035,331,46269,55166.666666666664,1116833.3333333333,2020-05-10
75,2010,293,48279,48833.333333333336,1165666.6666666665,2020-05-11
76,2216,336,50495,56000.0,1221666.6666666665,2020-05-12
77,2183,314,52678,52333.333333333336,1273999.9999999998,2020-05-13
78,1941,302,54619,50333.333333333336,1324333.333333333,2020-05-14
79,2397,354,57016,59000.0,1383333.333333333,2020-05-15
80,2087,339,59103,56500.0,1439833.333333333,2020-05-16
81,1777,286,60880,47666.666666666664,1487499.9999999998,2020-05-17
82,2365,399,63245,66500.0,1553999.9999999998,2020-05-18
83,3331,487,66576,81166.66666666667,1635166.6666666665,2020-05-19
84,2290,320,68866,53333.333333333336,1688499.9999999998,2020-05-20
85,2263,337,71129,56166.666666666664,1744666.6666666665,2020-05-21
86,2651,376,73780,62666.666666666664,1807333.3333333333,2020-05-22
87,2908,365,76688,60833.33333333333,1868166.6666666665,2020-05-23
88,2227,289,78915,48166.666666666664,1916333.3333333333,2020-05-24
89,2292,307,81207,51166.666666666664,1967500.0,2020-05-25
90,2548,318,83755,53000.0,2020500.0,2020-05-26
91,2354,278,86109,46333.333333333336,2066833.3333333333,2020-05-27
92,3623,416,89732,69333.33333333333,2136166.6666666665,2020-05-28
93,2987,297,92719,49500.0,2185666.6666666665,2020-05-29
94,2842,282,95561,47000.0,2232666.6666666665,2020-05-30
95,2824,312,98385,52000.0,2284666.6666666665,2020-05-31
96,2860,278,101245,46333.333333333336,2331000.0,2020-06-01
97,3684,307,104929,51166.666666666664,2382166.6666666665,2020-06-02
98,2821,259,107750,43166.666666666664,2425333.333333333,2020-06-03
99,2686,261,110436,43500.0,2468833.333333333,2020-06-04
100,3546,256,113982,42666.666666666664,2511499.9999999995,2020-06-05
101,3101,225,117083,37500.0,2548999.9999999995,2020-06-06
102,4140,323,121223,53833.333333333336,2602833.333333333,2020-06-07
103,3059,232,124282,38666.666666666664,2641499.9999999995,2020-06-08
104,3286,215,127568,35833.333333333336,2677333.333333333,2020-06-09
105,2741,188,130309,31333.333333333332,2708666.6666666665,2020-06-10
106,2698,222,133007,37000.0,2745666.6666666665,2020-06-11
107,4188,276,137195,46000.0,2791666.6666666665,2020-06-12
108,3539,198,140734,33000.0,2824666.6666666665,2020-06-13
109,3385,164,144119,27333.333333333332,2852000.0,2020-06-14
110,3595,198,147714,33000.0,2885000.0,2020-06-15
111,3721,186,151435,31000.0,2916000.0,2020-06-16
112,3276,182,154711,30333.333333333332,2946333.3333333335,2020-06-17
113,3001,175,157712,29166.666666666664,2975500.0,2020-06-18
114,5733,279,163445,46500.0,3022000.0,2020-06-19
115,3743,207,167188,34500.0,3056500.0,2020-06-20
116,3625,172,170813,28666.666666666668,3085166.6666666665,2020-06-21
117,3821,182,174634,30333.333333333332,3115500.0,2020-06-22
118,4472,191,179106,31833.333333333332,3147333.3333333335,2020-06-23
119,3491,174,182597,29000.0,3176333.3333333335,2020-06-24
120,3189,148,185786,24666.666666666668,3201000.0,2020-06-25
121,4316,173,190102,28833.333333333332,3229833.3333333335,2020-06-26
122,3990,159,194092,26500.0,3256333.3333333335,2020-06-27
123,5045,186,199137,31000.0,3287333.3333333335,2020-06-28
124,3238,164,202375,27333.333333333332,3314666.666666667,2020-06-29
125,4550,149,206925,24833.333333333332,3339500.0000000005,2020-06-30
126,3278,156,210203,26000.0,3365500.0000000005,2020-07-01
127,3234,158,213437,26333.333333333332,3391833.333333334,2020-07-02
128,5771,175,219208,29166.666666666664,3421000.0000000005,2020-07-03
129,8600,152,227808,25333.333333333332,3446333.333333334,2020-07-04
130,4244,146,232052,24333.333333333332,3470666.6666666674,2020-07-05
131,4095,152,236147,25333.333333333332,3496000.000000001,2020-07-06
132,4445,154,240592,25666.666666666668,3521666.6666666674,2020-07-07
133,4827,216,245419,36000.0,3557666.6666666674,2020-07-08
134,3162,134,248581,22333.333333333332,3580000.000000001,2020-07-09
135,4454,150,253035,25000.0,3605000.000000001,2020-07-10
136,3960,149,256995,24833.333333333332,3629833.3333333344,2020-07-11
137,3841,145,260836,24166.666666666668,3654000.000000001,2020-07-12
138,4370,161,265206,26833.333333333332,3680833.3333333344,2020-07-13
139,4638,163,269844,27166.666666666668,3708000.000000001,2020-07-14
140,3360,156,273204,26000.0,3734000.000000001,2020-07-15
141,3457,141,276661,23500.0,3757500.000000001,2020-07-16
142,4161,157,280822,26166.666666666668,3783666.6666666674,2020-07-17
143,4373,166,285195,27666.666666666668,3811333.333333334,2020-07-18
144,5789,249,290984,41500.0,3852833.333333334,2020-07-19
145,4563,172,295547,28666.666666666668,3881500.0000000005,2020-07-20
146,4679,180,300226,30000.0,3911500.0000000005,2020-07-21
147,4044,149,304270,24833.333333333332,3936333.333333334,2020-07-22
148,4435,162,308705,27000.0,3963333.333333334,2020-07-23
149,5140,192,313845,32000.0,3995333.333333334,2020-07-24
150,4747,163,318592,27166.666666666668,4022500.0000000005,2020-07-25
151,4454,177,323046,29500.0,4052000.0000000005,2020-07-26
152,4489,151,327535,25166.666666666668,4077166.666666667,2020-07-27
153,6356,244,333891,40666.666666666664,4117833.3333333335,2020-07-28
154,3996,121,337887,20166.666666666668,4138000.0,2020-07-29
155,3851,146,341738,24333.333333333332,4162333.3333333335,2020-07-30
156,5044,164,346782,27333.333333333332,4189666.666666667,2020-07-31
157,4198,149,350980,24833.333333333332,4214500.0,2020-08-01
158,4816,161,355796,26833.333333333332,4241333.333333333,2020-08-02
159,4006,142,359802,23666.666666666668,4265000.0,2020-08-03
160,4911,143,364713,23833.333333333332,4288833.333333333,2020-08-04
161,4053,139,368766,23166.666666666668,4312000.0,2020-08-05
162,4029,143,372795,23833.333333333332,4335833.333333333,2020-08-06
163,6373,205,379168,34166.666666666664,4370000.0,2020-08-07
164,4293,172,383461,28666.666666666668,4398666.666666667,2020-08-08
165,4245,165,387706,27500.0,4426166.666666667,2020-08-09
166,4166,135,391872,22500.0,4448666.666666667,2020-08-10
167,4576,163,396448,27166.666666666668,4475833.333333334,2020-08-11
168,4435,169,400883,28166.666666666668,4504000.000000001,2020-08-12
169,3646,138,404529,23000.0,4527000.000000001,2020-08-13
170,5210,181,409739,30166.666666666664,4557166.666666668,2020-08-14
171,4411,150,414150,25000.0,4582166.666666668,2020-08-15
172,3855,116,418005,19333.333333333332,4601500.000000001,2020-08-16
173,4215,148,422220,24666.666666666668,4626166.666666668,2020-08-17
174,4495,133,426715,22166.666666666668,4648333.333333335,2020-08-18
175,5558,221,432273,36833.333333333336,4685166.666666668,2020-08-19
176,3636,144,435909,24000.0,4709166.666666668,2020-08-20
177,5108,140,441017,23333.333333333332,4732500.000000001,2020-08-21
178,4015,118,445032,19666.666666666668,4752166.666666668,2020-08-22
179,4335,128,449367,21333.333333333332,4773500.000000001,2020-08-23
180,4072,122,453439,20333.333333333332,4793833.333333334,2020-08-24
181,4608,130,458047,21666.666666666668,4815500.000000001,2020-08-25
182,4089,136,462136,22666.666666666668,4838166.666666668,2020-08-26
183,3512,121,465648,20166.666666666668,4858333.333333335,2020-08-27
184,5782,216,471430,36000.0,4894333.333333335,2020-08-28
185,3932,116,475362,19333.333333333332,4913666.666666668,2020-08-29
186,4065,120,479427,20000.0,4933666.666666668,2020-08-30
187,3718,127,483145,21166.666666666668,4954833.333333335,2020-08-31
188,4173,119,487318,19833.333333333332,4974666.666666668,2020-09-01
189,3650,138,490968,23000.0,4997666.666666668,2020-09-02
190,2934,124,493902,20666.666666666668,5018333.333333335,2020-09-03
191,3993,119,497895,19833.333333333332,5038166.666666668,2020-09-04
192,3745,122,501640,20333.333333333332,5058500.000000001,2020-09-05
193,3224,122,504864,20333.333333333332,5078833.333333334,2020-09-06
194,4167,161,509031,26833.333333333332,5105666.666666667,2020-09-07
195,3682,125,512713,20833.333333333332,5126500.0,2020-09-08
196,3167,121,515880,20166.666666666668,5146666.666666667,2020-09-09
197,3103,105,518983,17500.0,5164166.666666667,2020-09-10
198,4030,125,523013,20833.333333333332,5185000.0,2020-09-11
199,3734,127,526747,21166.666666666668,5206166.666666667,2020-09-12
200,3321,130,530068,21666.666666666668,5227833.333333334,2020-09-13
201,3364,117,533432,19500.0,5247333.333333334,2020-09-14
202,3913,140,537345,23333.333333333332,5270666.666666667,2020-09-15
203,2822,105,540167,17500.0,5288166.666666667,2020-09-16
204,2630,108,542797,18000.0,5306166.666666667,2020-09-17
205,3607,134,546404,22333.333333333332,5328500.0,2020-09-18
206,4263,171,550667,28500.0,5357000.0,2020-09-19
207,3016,114,553683,19000.0,5376000.0,2020-09-20
208,2804,132,556487,22000.0,5398000.0,2020-09-21
209,3107,126,559594,21000.0,5419000.0,2020-09-22
210,2993,131,562587,21833.333333333332,5440833.333333333,2020-09-23
211,2493,101,565080,16833.333333333332,5457666.666666666,2020-09-24
212,3087,113,568167,18833.333333333332,5476499.999999999,2020-09-25
213,3189,106,571356,17666.666666666668,5494166.666666666,2020-09-26
214,2838,113,574194,18833.333333333332,5512999.999999999,2020-09-27
215,3408,135,577602,22500.0,5535499.999999999,2020-09-28
216,2993,99,580595,16500.0,5551999.999999999,2020-09-29
217,2422,83,583017,13833.333333333334,5565833.333333332,2020-09-30
218,2332,97,585349,16166.666666666666,5581999.999999999,2020-10-01
219,3075,121,588424,20166.666666666668,5602166.666666666,2020-10-02
220,2903,106,591327,17666.666666666668,5619833.333333333,2020-10-03
221,2334,87,593661,14500.0,5634333.333333333,2020-10-04
222,2444,100,596105,16666.666666666668,5651000.0,2020-10-05
223,2794,98,598899,16333.333333333332,5667333.333333333,2020-10-06
224,2296,79,601195,13166.666666666666,5680500.0,2020-10-07
225,2846,119,604041,19833.333333333332,5700333.333333333,2020-10-08
226,2805,82,606846,13666.666666666666,5714000.0,2020-10-09
227,2353,84,609199,14000.0,5728000.0,2020-10-10
228,2399,101,611598,16833.333333333332,5744833.333333333,2020-10-11
229,2379,76,613977,12666.666666666666,5757500.0,2020-10-12
230,2839,86,616816,14333.333333333334,5771833.333333333,2020-10-13
231,2106,81,618922,13500.0,5785333.333333333,2020-10-14
232,2035,59,620957,9833.333333333334,5795166.666666666,2020-10-15
233,2762,72,623719,12000.0,5807166.666666666,2020-10-16
234,2173,80,625892,13333.333333333334,5820499.999999999,2020-10-17
235,2284,95,628176,15833.333333333332,5836333.333333332,2020-10-18
236,3061,137,631237,22833.333333333332,5859166.666666665,2020-10-19
237,2519,101,633756,16833.333333333332,5875999.999999998,2020-10-20
238,2001,72,635757,12000.0,5887999.999999998,2020-10-21
239,1891,71,637648,11833.333333333334,5899833.333333331,2020-10-22
240,2675,86,640323,14333.333333333334,5914166.666666664,2020-10-23
241,2144,92,642467,15333.333333333332,5929499.999999997,2020-10-24
242,2299,78,644766,13000.0,5942499.999999997,2020-10-25
243,2407,78,647173,13000.0,5955499.999999997,2020-10-26
244,2382,77,649555,12833.333333333334,5968333.33333333,2020-10-27
245,2788,106,652343,17666.666666666668,5985999.999999997,2020-10-28
246,1968,68,654311,11333.333333333334,5997333.33333333,2020-10-29
247,2146,69,656457,11500.0,6008833.33333333,2020-10-30
248,2836,66,659293,11000.0,6019833.33333333,2020-10-31
249,2476,66,661769,11000.0,6030833.33333333,2020-11-01
250,2814,80,664583,13333.333333333334,6044166.666666663,2020-11-02
251,2531,78,667114,13000.0,6057166.666666663,2020-11-03
252,2304,65,669418,10833.333333333334,6067999.999999996,2020-11-04
253,2222,71,671640,11833.333333333334,6079833.333333329,2020-11-05
254,2910,78,674550,13000.0,6092833.333333329,2020-11-06
255,2948,101,677498,16833.333333333332,6109666.666666662,2020-11-07
256,2427,63,679925,10500.0,6120166.666666662,2020-11-08
257,2251,70,682176,11666.666666666666,6131833.333333329,2020-11-09
258,2472,81,684648,13500.0,6145333.333333329,2020-11-10
259,2050,72,686698,12000.0,6157333.333333329,2020-11-11
260,2355,77,689053,12833.333333333334,6170166.666666662,2020-11-12
261,2661,65,691714,10833.333333333334,6180999.999999995,2020-11-13
262,2308,72,694022,12000.0,6192999.999999995,2020-11-14
263,2237,93,696259,15500.0,6208499.999999995,2020-11-15
264,1988,80,698247,13333.333333333334,6221833.333333328,2020-11-16
265,2141,88,700388,14666.666666666666,6236499.999999995,2020-11-17
266,1971,79,702359,13166.666666666666,6249666.666666662,2020-11-18
267,3140,123,705499,20500.0,6270166.666666662,2020-11-19
268,2589,94,708088,15666.666666666666,6285833.333333329,2020-11-20
269,2727,87,710815,14500.0,6300333.333333329,2020-11-21
270,2615,82,713430,13666.666666666666,6313999.999999996,2020-11-22
271,2910,105,716340,17500.0,6331499.999999996,2020-11-23
272,3084,133,719424,22166.666666666668,6353666.666666663,2020-11-24
273,2897,124,722321,20666.666666666668,6374333.33333333,2020-11-25
274,2932,126,725253,21000.0,6395333.33333333,2020-11-26
275,3822,138,729075,23000.0,6418333.33333333,2020-11-27
276,3890,162,732965,27000.0,6445333.33333333,2020-11-28
277,3314,112,736279,18666.666666666668,6463999.999999997,2020-11-29
278,3313,112,739592,18666.666666666668,6482666.666666664,2020-11-30
279,3563,116,743155,19333.333333333332,6501999.999999997,2020-12-01
280,3393,130,746548,21666.666666666668,6523666.666666664,2020-12-02
281,3884,160,750432,26666.666666666668,6550333.333333331,2020-12-03
282,4161,158,754593,26333.333333333332,6576666.666666664,2020-12-04
283,3682,147,758275,24500.0,6601166.666666664,2020-12-05
284,3691,165,761966,27500.0,6628666.666666664,2020-12-06
285,3874,157,765840,26166.666666666668,6654833.333333331,2020-12-07
286,5387,249,771227,41500.0,6696333.333333331,2020-12-08
287,4113,162,775340,27000.0,6723333.333333331,2020-12-09
288,4110,145,779450,24166.666666666668,6747499.999999998,2020-12-10
289,5047,168,784497,28000.0,6775499.999999998,2020-12-11
290,4172,155,788669,25833.333333333332,6801333.333333331,2020-12-12
291,4389,229,793058,38166.666666666664,6839499.999999998,2020-12-13
292,3977,163,797035,27166.666666666668,6866666.666666665,2020-12-14
293,4564,203,801599,33833.333333333336,6900499.999999998,2020-12-15
294,4210,168,805809,28000.0,6928499.999999998,2020-12-16
295,3771,147,809580,24500.0,6952999.999999998,2020-12-17
296,5287,217,814867,36166.666666666664,6989166.666666665,2020-12-18
297,5550,325,820417,54166.666666666664,7043333.333333332,2020-12-19
298,4192,223,824609,37166.666666666664,7080499.999999999,2020-12-20
299,4016,225,828625,37500.0,7117999.999999999,2020-12-21
300,4649,202,833274,33666.666666666664,7151666.666666666,2020-12-22
301,4463,213,837737,35500.0,7187166.666666666,2020-12-23
302,4104,176,841841,29333.333333333332,7216499.999999999,2020-12-24
303,4860,213,846701,35500.0,7251999.999999999,2020-12-25
304,4338,201,851039,33500.0,7285499.999999999,2020-12-26
305,4059,207,855098,34500.0,7319999.999999999,2020-12-27
306,4967,278,860065,46333.333333333336,7366333.333333332,2020-12-28
307,4345,185,864410,30833.333333333332,7397166.666666665,2020-12-29
308,4332,201,868742,33500.0,7430666.666666665,2020-12-30
309,3981,185,872723,30833.333333333332,7461499.999999998,2020-12-31
310,4872,193,877595,32166.666666666664,7493666.666666665,2021-01-01
311,4304,236,881899,39333.333333333336,7532999.999999998,2021-01-02
312,3770,184,885669,30666.666666666664,7563666.666666665,2021-01-03
313,3901,186,889570,31000.0,7594666.666666665,2021-01-04
314,4400,213,893970,35500.0,7630166.666666665,2021-01-05
315,3720,157,897690,26166.666666666668,7656333.333333332,2021-01-06
316,4175,241,901865,40166.666666666664,7696499.999999999,2021-01-07
317,3876,200,905741,33333.333333333336,7729833.333333332,2021-01-08
318,3597,179,909338,29833.333333333332,7759666.666666665,2021-01-09
319,4314,172,913652,28666.666666666668,7788333.333333332,2021-01-10
320,4297,184,917949,30666.666666666664,7818999.999999999,2021-01-11
321,5110,218,923059,36333.333333333336,7855333.333333332,2021-01-12
322,4926,187,927985,31166.666666666664,7886499.999999999,2021-01-13
323,4729,185,932714,30833.333333333332,7917333.333333332,2021-01-14
324,5067,237,937781,39500.0,7956833.333333332,2021-01-15
325,3987,175,941768,29166.666666666664,7985999.999999999,2021-01-16
326,4679,175,946447,29166.666666666664,8015166.666666666,2021-01-17
327,5308,207,951755,34500.0,8049666.666666666,2021-01-18
328,7877,288,959632,48000.0,8097666.666666666,2021-01-19
329,6813,209,966445,34833.333333333336,8132499.999999999,2021-01-20
330,7187,242,973632,40333.333333333336,8172833.333333332,2021-01-21
331,7903,240,981535,40000.0,8212833.333333332,2021-01-22
332,6217,245,987752,40833.333333333336,8253666.666666665,2021-01-23
333,5600,209,993352,34833.333333333336,8288499.999999998,2021-01-24
334,5436,233,998788,38833.333333333336,8327333.333333331,2021-01-25
335,5752,207,1004540,34500.0,8361833.333333331,2021-01-26
336,5427,184,1009967,30666.666666666664,8392499.999999998,2021-01-27
337,5963,266,1015930,44333.333333333336,8436833.333333332,2021-01-28
338,5594,181,1021524,30166.666666666664,8466999.999999998,2021-01-29
339,4702,176,1026226,29333.333333333332,8496333.333333332,2021-01-30
340,4249,173,1030475,28833.333333333332,8525166.666666666,2021-01-31
341,4295,180,1034770,30000.0,8555166.666666666,2021-02-01
342,5160,213,1039930,35500.0,8590666.666666666,2021-02-02
343,4251,151,1044181,25166.666666666668,8615833.333333332,2021-02-03
344,3938,161,1048119,26833.333333333332,8642666.666666666,2021-02-04
345,4932,176,1053051,29333.333333333332,8672000.0,2021-02-05
346,4048,131,1057099,21833.333333333332,8693833.333333334,2021-02-06
347,4438,207,1061537,34500.0,8728333.333333334,2021-02-07
348,3739,147,1065276,24500.0,8752833.333333334,2021-02-08
