age_grp,mean_age_vac,mean_age_unvac,mort_vac,mort_unvac
AG0t18,12.85,6.877102738773808,0.2,0.182095006090134
AG18t30,25.379977246871444,25.228376943733217,0.24181360201511334,0.32118375955707884
AG30t40,35.35716694772344,35.23504715153081,0.2570093457943925,0.3556230319388214
AG40t50,44.86827586206896,44.728030611842364,0.34547118023787743,0.43134060698982873
AG50t65,57.92995869042481,57.29313664596273,0.5103286994933091,0.5602833235938173
AG65t75,69.67231920199501,69.31372252136308,0.661050661050661,0.6885300190906611
AG75t85,79.10212854468557,79.080063237536,0.7471667763398406,0.7541842674447299
AG85+,89.09335552781246,89.06129597197898,0.784452296819788,0.7850326146332058
