mean_all,stdm_all,median_all,mean_death,stdm_death,median_death,mean_cure,stdm_cure,median_cure,n_death,n_cure,age_min,age_mean,age_max,ibp_min,ibp_mean,ibp_max
10.311501597444089,0.2429089499980062,6.0,12.412162162162161,0.8167376714187512,8.0,10.080963855421686,0.2587630217382846,6.0,296,2075,0,7.046998325759388,17,-1.7313,-1.4515347404926653,-1.3144
10.685141854343374,0.1339477018208166,7.0,13.397472716829409,0.2795048131981053,10.0,9.771278825995807,0.14893157112149127,7.0,1741,4770,18,25.325412489145023,29,-1.7627,-1.4571249348701145,-1.3144
11.461501605097983,0.07918098595136548,8.0,13.285858756109894,0.14725106354040043,11.0,10.840452616690241,0.09481229162906239,7.0,5933,14140,30,35.20761687633907,39,-1.7627,-1.4577025229357197,-1.3144
12.583157474476701,0.06481139119305852,9.0,13.482023646746562,0.1041785392508743,11.0,12.118891593334581,0.08273443514635767,8.0,12433,21364,40,44.65467233863029,49,-1.7627,-1.4583066903387925,-1.3144
13.624570972462418,0.04617971513497445,10.0,14.026329901329902,0.06281091385697024,11.0,13.282333809964394,0.06831086391332643,9.0,37296,35667,50,57.14574391659145,64,-1.7627,-1.4593206780627381,-1.3144
13.609794000037903,0.05538302065564639,10.0,13.640593853202821,0.06620050932989505,11.0,13.617930409157882,0.10060363391181819,9.0,33611,17646,65,69.29923378807699,74,-1.7627,-1.4571406884692908,-1.3144
12.260865902964959,0.062075980722019954,9.0,12.214187246445311,0.07102381313458078,9.0,12.415267175572518,0.1274198245270305,9.0,25389,9170,75,79.10231034249814,84,-1.7627,-1.4572872334433409,-1.3144
10.700028514399772,0.08332846147926082,8.0,10.345789310130517,0.0926852239431909,7.0,11.803940647044515,0.18615373678342434,8.0,12872,4111,85,89.31683907433082,136,-1.7313,-1.457657596246374,-1.3144
11.231852654387867,0.3117880755436589,6.0,11.074074074074074,0.7296603458282811,7.0,10.093862815884476,0.3288565584622929,6.0,270,1385,0,7.055540011191942,17,-1.3134,-1.1141281757134938,-0.8651
11.076485317550649,0.16651582154288683,8.0,12.357729648991786,0.300740764679116,10.0,10.377785638486028,0.20093610151662403,7.0,1339,2827,18,25.13101920236337,29,-1.3134,-1.1217229492860659,-0.8646
11.711634327785873,0.10127523034988715,8.0,12.47622237106497,0.16712722445163578,10.0,11.151684694765635,0.12683787354762047,7.0,4479,8043,30,35.12852431515336,39,-1.3134,-1.1255967306556047,-0.8646
12.385913291342927,0.08088165726041402,9.0,12.605437807749947,0.11753541009573669,10.0,12.097870138829007,0.11147984753602808,8.0,9342,11597,40,44.636846483650096,49,-1.3134,-1.1255382888591303,-0.8646
13.137604865771813,0.05590479643304931,10.0,12.927800954635998,0.0696338574574858,10.0,13.268638511968287,0.09148033297976207,9.0,26607,19677,50,57.082718800229024,64,-1.3134,-1.1238712688244221,-0.8646
12.667608662263861,0.06614795540833933,9.0,12.363005988563195,0.07509146795826686,10.0,13.19835581787521,0.13278903619452137,9.0,22209,9488,65,69.27637029300978,74,-1.3134,-1.1224210786328046,-0.8646
11.314816561350561,0.075641404580147,8.0,10.945393571247786,0.08207508347498238,8.0,12.247160850712369,0.17700194865050956,9.0,15804,4843,75,79.04925792071035,84,-1.3134,-1.118933812764874,-0.8646
9.54534395045344,0.10419810492912127,7.0,9.085040696042661,0.10884968779448764,7.0,10.789536266349584,0.269329128916009,8.0,7126,1682,85,89.17013384937913,136,-1.3134,-1.1172208756652275,-0.8646
12.8043254376931,0.4800884393837766,7.0,11.438914027149321,0.9188642469408528,7.0,13.030523255813954,0.5694660443924755,7.0,221,688,0,7.096061269146609,17,-0.8632,-0.7177575711159763,-0.4151
11.541824295922657,0.23728467973728595,8.0,11.31096196868009,0.34058015212549964,9.0,11.619081272084806,0.3179479526401901,8.0,894,1415,18,25.06454190340909,29,-0.8632,-0.7132822975852154,-0.4151
11.343458646616542,0.13719665816555246,8.0,11.638588912886968,0.19774374114224802,9.0,11.128846153846155,0.19114751433593397,7.0,2778,3640,30,35.08814766368723,39,-0.8632,-0.7107791548579768,-0.4151
12.049137621272008,0.10874388895539108,9.0,11.925148088314486,0.1419218396712166,9.0,12.157874690535136,0.16686670316971564,8.0,5571,5251,40,44.60440734391692,49,-0.8632,-0.7091599413679691,-0.4151
12.498751510269836,0.07472198525352032,9.0,12.24874158331699,0.0890844252706623,10.0,12.877964205816555,0.13489981805643683,9.0,15297,8940,50,57.12456421744721,64,-0.8632,-0.713808714325311,-0.4151
12.309919040130469,0.09118517464761682,9.0,11.930320301838323,0.09968388664871196,9.0,13.173305860805861,0.20443643944063108,9.0,12457,4368,65,69.32185834622658,74,-0.8632,-0.7179694064810461,-0.4151
11.125701649940465,0.1015569096625839,8.0,10.728423349699945,0.10758757519476232,8.0,12.48860759493671,0.2653364543733511,9.0,9165,2370,75,79.13801804074939,84,-0.8632,-0.7147304074938952,-0.4151
9.276378101913242,0.132696460936094,7.0,9.015968525804212,0.13841259679123663,6.0,10.417857142857143,0.3906585811135342,7.0,4321,840,85,89.34239202657807,150,-0.8632,-0.718641189368783,-0.4151
11.557046979865772,0.6054012268480411,6.0,11.41904761904762,1.3789881192515059,6.0,11.110032362459547,0.6933941090372584,6.0,105,309,0,6.60502405130946,17,-0.4143,-0.2185740245857816,0.0319
10.584736251402918,0.36340076677693245,7.0,10.647435897435898,0.5244380086951309,8.0,10.366852886405958,0.4551309724780252,7.0,312,537,18,25.026466380543635,29,-0.4143,-0.21738497854076727,0.0333
11.497711194340408,0.23255950769693173,8.0,11.532343584305409,0.3342238918965324,9.0,11.307017543859649,0.3148410189073842,7.0,943,1368,30,35.105091317212526,39,-0.4143,-0.2228590960106132,0.0333
11.860277427490542,0.18542414083029696,8.0,11.49336165693043,0.2382259469804812,9.0,11.855215360664245,0.2710176625577126,8.0,1883,1927,40,44.672055427251735,49,-0.4143,-0.2291657358807452,0.0333
12.627859799391413,0.12817723046689972,9.0,11.992041925465838,0.15099161868863978,9.0,13.15210355987055,0.2194538474959201,9.0,5152,3399,50,57.07996409470023,64,-0.4143,-0.22586705688745806,0.0333
12.34244532803181,0.1504188643743014,9.0,11.733574879227053,0.16636213044346995,9.0,12.961159420289855,0.29461376206643364,9.0,4140,1725,65,69.35874945178874,74,-0.4143,-0.22273710293840934,0.0333
11.220364415862807,0.1682867507540596,8.0,10.582224738182848,0.17912887889356574,8.0,12.328460038986355,0.3693613575533196,9.0,3533,1026,75,79.155204778157,84,-0.4143,-0.21366931740614276,0.0333
9.232740585774058,0.22413115703980116,7.0,8.60460392687881,0.22395371472515466,6.0,10.636828644501279,0.5643369208114585,8.0,1477,391,85,89.3115252947889,140,-0.4143,-0.2111798782807113,0.0333
12.844660194174757,0.8517336268791124,7.0,9.862068965517242,1.9068520816729755,4.5,13.338095238095239,1.0292708038918876,7.0,58,210,0,6.677279305354559,17,0.0347,0.22552872648335778,0.4815
10.273127753303966,0.525224747032232,7.0,11.654320987654321,0.9424560315972738,9.0,9.543307086614174,0.6108811714565676,7.0,162,254,18,24.83977420755536,29,0.0347,0.23649066435084787,0.4824
10.769618430525558,0.2979409927399285,7.0,11.041733547351525,0.3855185805498819,8.0,10.43134328358209,0.4281766123540984,7.0,623,670,30,35.08311345646438,39,0.0347,0.25110248774971783,0.4824
11.069511025886865,0.25158010664587704,8.0,10.960271317829458,0.3237210368013965,8.0,11.496224379719525,0.3939243651302716,8.0,1032,927,40,44.60855132120568,49,0.0347,0.25179032001062723,0.4824
11.62202509736045,0.1699400740710566,8.0,11.455187014820043,0.19362270917001026,9.0,12.478204294079376,0.3305430922544491,8.0,2834,1537,50,57.12864147678108,64,0.0347,0.2527006850302934,0.4824
11.430026185627,0.1937066537716369,8.0,11.033684210526316,0.21012853832450681,9.0,12.811778290993072,0.4320496680625102,9.0,2375,866,65,69.41604965156795,74,0.0347,0.2531334168118508,0.4824
10.261842596046252,0.19850205717264624,8.0,9.908905852417302,0.21381467722366776,7.0,11.416526138279933,0.46228760517197864,8.0,1965,593,75,79.13479536248079,84,0.0347,0.2602096940913573,0.4824
